seed,ols,tsls,avg_slope
1,0.29595880784431505,0.19669561881417144,0.20619
2,0.303161222105927,0.1670266898534163,0.20847
3,0.2718485582360272,0.1646205218301152,0.20736000000000002
4,0.2983093356081521,0.13267946717974777,0.20736000000000002
5,0.3027350599958836,0.14681861170455973,0.20706
6,0.32955183853834624,0.21723682932818483,0.20804999999999998
7,0.29245251018732377,0.1670462687387299,0.20553000000000002
8,0.29136363042618507,0.19066945922106648,0.20639999999999997
9,0.3187368034446704,0.22996137722411508,0.20859
10,0.2937106601620765,0.23266171522826481,0.20739
11,0.3171829608271381,0.18686004327022337,0.20796
12,0.29029929738495064,0.21817218097797572,0.20687999999999998
13,0.3133429235194488,0.23358739568417,0.20634
14,0.29295348715599945,0.2546862721689967,0.20556
15,0.30472244322064224,0.26163150729906737,0.20958
16,0.29169020685510366,0.18903883750281938,0.20616
17,0.3033420720018249,0.20556294948250417,0.20793
18,0.30448678205954943,0.29163720662324977,0.20976
19,0.28948306688330705,0.2317842877989554,0.20759999999999998
20,0.29762795537629944,0.21696719559675282,0.20769
21,0.29066155161888513,0.24982206453483966,0.20853000000000002
22,0.3046735115047106,0.27025826932401703,0.20832
23,0.30606584067946113,0.19952203165820567,0.20733000000000001
24,0.2840195390373105,0.2004924015423449,0.20595
25,0.29394766215993123,0.17933909761493425,0.20835
26,0.27645527330981146,0.1772254297105765,0.20748
27,0.2788334408415034,0.16703163746417996,0.20844
28,0.28955443480241855,0.22675279780152227,0.20532
29,0.291560092830174,0.13692356007935264,0.20703000000000002
30,0.2987292694089757,0.16707648774303727,0.20748
31,0.2919850696817189,0.22158008887029293,0.20853000000000002
32,0.2870183194555887,0.20859765084092702,0.20745
33,0.2984568723053458,0.20416712950214688,0.20781
34,0.29745924260312157,0.2122298702223845,0.20819999999999997
35,0.29846738280456603,0.25739496609619167,0.20811
36,0.29652248454490054,0.18363199894417911,0.21002999999999997
37,0.29351706988719317,0.24938067201306954,0.20844
38,0.2977524174582321,0.2524176602354089,0.20622
39,0.32276660609075924,0.21482850137299292,0.20903999999999998
40,0.2962746664052823,0.14073278347746412,0.20697
41,0.30650357734921846,0.19589995509546904,0.20586000000000002
42,0.30037116735457087,0.1509138174546516,0.20931
43,0.29400641837079783,0.27804863483076364,0.20853000000000002
44,0.2914659330126272,0.23477093918987088,0.20826
45,0.27361519102679016,0.164604701524137,0.20786999999999997
46,0.2980600729683206,0.22517555357418287,0.20622
47,0.3101198260114646,0.23629594695413944,0.20817
48,0.3088357195333001,0.22509052784336303,0.20649
49,0.2745705193732171,0.23885807525643984,0.20961
50,0.3141501184363794,0.2050519963500327,0.20664
51,0.28256258701126846,0.1505082217462827,0.20693999999999999
52,0.3226841358707596,0.29263175269864433,0.20840999999999998
53,0.2921538682953349,0.21604733914234167,0.20619
54,0.3019784061258085,0.2279690349551376,0.2085
55,0.2886145527738332,0.2275600678544436,0.20556
56,0.3061834728783164,0.21403953693435254,0.20931
57,0.3061761322379738,0.16855488815740552,0.20763
58,0.3129256154058988,0.24787599258437282,0.20873999999999998
59,0.2945321792496177,0.20939540607038254,0.20763
60,0.31105775936811636,0.25582578302463704,0.20772
61,0.2881554233950637,0.2016765317673752,0.21048
62,0.28857148025181306,0.17544399119501272,0.20451
63,0.3113682339427483,0.24678572714783248,0.20916
64,0.30104996500930586,0.21328593271158625,0.20652
65,0.3188850526119164,0.25033593619613564,0.20628
66,0.2910196252522163,0.21491061726603095,0.20445
67,0.2904694529150721,0.22834100564527166,0.20562
68,0.29251057348640364,0.22628053181716415,0.20568
69,0.2903908386186653,0.22905168435065507,0.20592
70,0.2982989010440409,0.21586354229574578,0.20955
71,0.2858136211946415,0.1921164365814991,0.20751
72,0.31402820157987055,0.23818061326148962,0.20685
73,0.2855054141028382,0.20943709049387216,0.20729999999999998
74,0.3103154730873747,0.26972489039384373,0.20802
75,0.27692403904047785,0.1544607284923528,0.20682
76,0.29911148217836275,0.23404744697950583,0.20748
77,0.315308849289298,0.18133061239043932,0.20673
78,0.32441969248947405,0.2652068849308319,0.20745
79,0.2956195629943586,0.193662309539943,0.20709
80,0.2918291615639274,0.17307473382019312,0.20433
81,0.29653166302286443,0.22127718593587625,0.20622
82,0.3083398605271075,0.24201806151997368,0.20676
83,0.2945358770811458,0.20489019245885945,0.20826
84,0.2990746253061178,0.2243404046402984,0.20832
85,0.29064885458480283,0.19388783892263564,0.20745
86,0.3031318415869445,0.23768758345454927,0.20868
87,0.2968396544134289,0.2621485904977897,0.20562
88,0.314583595176682,0.2442395629238063,0.20481
89,0.28756882960246755,0.1576358285480396,0.20837999999999998
90,0.3060929240871306,0.21042058930283306,0.20553000000000002
91,0.2970962033072717,0.20764438364396165,0.20703000000000002
92,0.29807716905177417,0.16732573537139178,0.20586000000000002
93,0.2809353371243773,0.15790035322191198,0.20883000000000002
94,0.31208239007761357,0.21189678204486032,0.20646
95,0.30045021208276335,0.23315455216002348,0.20736000000000002
96,0.28481290131096443,0.20929639771816402,0.20847
97,0.29966019564898616,0.18861489494680422,0.20819999999999997
98,0.2869522042137201,0.17265334202322297,0.20903999999999998
99,0.3026525158624519,0.2430619359109427,0.20906999999999998
100,0.29787670129781685,0.16013283910229043,0.20766
