site,n,avg_slope,ivw,ivw_se,naive_ols,mean_F
site01,1426,0.3,0.23696013882314743,0.10026324859582526,0.41998876087730863,6.500824223018573
site02,2361,0.3,0.3105877447419116,0.06730797196486815,0.43988320977864986,14.329077458153204
site03,3480,0.3,0.3113620595558122,0.060212283243456004,0.43508400361310834,18.992122941169548
site04,4556,0.3,0.2865871103377462,0.04734149940214098,0.405448575507965,28.15603032475594
site05,4631,0.3,0.33917826378862587,0.04711164423788862,0.4408643995870661,28.223764358597684
site06,5629,0.3,0.3087472950392121,0.048402305369068206,0.3941425946008895,29.475989668742347
site07,7141,0.3,0.2970148785176613,0.04198995428526771,0.3797158492205282,34.29745183719852
site08,8154,0.3,0.32529660178441644,0.04044589884675187,0.3990385687183298,39.478200768129575
site09,8424,0.3,0.29976389970812495,0.03978115033830778,0.3434411214166588,39.215935569066374
site10,9380,0.3,0.3145007055371474,0.03490550888803596,0.36808125798068636,46.47387767939429
