estimator,theta1,se1,robust_se1,theta2,se2,robust_se2,first_stage_F,partial_r2,generated_instrument_F,abs_diff_from_pooled,rounds,what_leaves_site
concatenated 2SLS,0.22414269552420807,0.01450142913144589,,,,,,,,,,individual rows
Fed-2SLS (LocalFirstStage),0.22414269552420787,0.014501429131445887,0.01454318279734154,,,,28.660417994222144,0.0944266556550661,5752.833883283234,1.942890293094024e-16,2,"centred Z'Z, Z'W, Z'Y, W'W, W'Y, Y'Y, n (+ first-stage RSS); then H for the robust SE"
Fed-2SLS-CF (5 folds),0.22041136351421065,0.015127450097154575,0.015173630722423503,,,,28.660417994222144,0.0944266556550661,5245.24867597457,,2,"per-fold first-stage moments, then the same statistics"
site 2SLS meta-analysis,0.22364053467777265,0.014491634684538613,,,,,,,,0.0005021608464354232,,one estimate and SE per site
per-SNP sumstats IVW,0.22380597249095607,0.014940639749748694,,,,,,,,0.0003367230332519955,,"per-SNP beta_x, beta_y, SEs"
naive OLS (no instruments),0.29922066331255487,,,,,,,,,,,""
concatenated quadratic 2SLS,0.2245815269925964,0.01447501385246335,,-0.05263107183003947,0.03140756134880657,,,,,,,individual rows
Fed-2SLS quadratic,0.22458152699259656,0.01447501385246333,0.014508838710444508,-0.052631071830039275,0.03140756134880619,0.032016590842403075,28.660417994222144,0.0944266556550661,2877.5376456993085,1.942890293094024e-16,2,"the same statistics with W = [X, X^2], Z = [xhat, xhat^2], centred within site"
Fed-2SLS-CF quadratic (5 folds),0.22079129974907014,0.015099217029151759,0.01513652015230644,-0.04621174826714553,0.0337126724427599,0.03432364045725399,28.660417994222144,0.0944266556550661,2623.281457482995,,2,""
site quadratic 2SLS meta-analysis,0.22541335698662007,0.014633693517748528,,-0.0450634434635573,0.03130659997126943,,,,,0.007567628366482171,,two coefficients and a 2x2 covariance per site
