seed,min_events,median_events,sumstats,sumstats_se,Q,pooled,pooled_se
1,24,80.5,0.4420397736638198,0.11475099769394437,6.588368485328259,0.4549579790528403,0.11432636477791687
2,23,86.0,0.309866704669535,0.08998631812753215,3.7221018410621,0.3088094262692349,0.09047082377518166
3,25,79.5,0.26394956621803506,0.09799331086400007,8.788509777836248,0.2615809624162246,0.0992076111988019
4,28,89.0,0.34630276446021446,0.11472226021967118,10.500616040356318,0.3219341333856883,0.11402929813495905
5,14,78.0,0.34512110361200915,0.10589184741122522,5.81205402305412,0.34338938643979156,0.1063787128124009
6,17,73.5,0.1946582223414509,0.11350955679253408,8.072279411611033,0.23027829602644298,0.11356902045933391
7,26,75.0,0.2634212376903002,0.11342933215365338,10.377432913765189,0.25564959283717087,0.11403907089638314
8,25,69.5,0.09543295065078398,0.09753302261871695,13.64221998383292,0.10118841904766325,0.09897628573773076
9,8,75.5,0.07430298090240507,0.111964476040584,8.782288744881399,0.08918828929126023,0.11372373439510924
10,28,73.5,0.18386569356392726,0.12646461841387194,14.668261027026066,0.16694962771136315,0.12428894753214288
11,12,83.0,0.3757293719053798,0.10842897066260974,11.596140696782196,0.3923517232894001,0.10933128784673617
12,18,75.0,0.31737070553416863,0.12273732279688607,3.3787298967043746,0.31825549348212967,0.12305888910607238
13,21,74.5,0.34313178839267866,0.11074369192442853,8.148565783065541,0.3426283869004557,0.11084196744991337
14,18,85.5,0.22186691425788674,0.0975339736973926,10.648344845657505,0.23655754606987056,0.09568060812859629
15,21,67.0,0.3392063451794814,0.11149434709183763,6.150352963852811,0.3567295164504575,0.11183227258250478
16,23,78.0,0.5339264497206764,0.11311242965686337,7.489108510846043,0.5379928279295362,0.1144809281828377
17,22,74.5,0.3668228074141705,0.10050243308290664,10.873563273173852,0.3757376089342675,0.09975937720345086
18,22,77.5,0.22760248708819333,0.09412600190672897,7.758506511210554,0.22861349863919292,0.09553280763303193
19,15,75.0,0.4467187969915925,0.11137016687420079,7.57380025769033,0.4402612265282457,0.11245614220729365
20,29,75.5,0.27185750519451757,0.10855250823333654,6.406916794185557,0.2508816915263553,0.10829816058171488
21,20,73.5,0.20402522006261872,0.10858933868556775,6.926207076582089,0.21765817828962672,0.10869121806869403
22,30,85.0,0.42402475843184195,0.11980104181095375,18.044778434867112,0.43150131305222245,0.11891458869311886
23,14,67.5,0.3853882854028969,0.09512520845749631,10.606143427119004,0.4024960765869701,0.093669802554661
24,14,68.5,0.5768305699271785,0.11532469794598575,11.327237645070289,0.543536956875017,0.11589115350165623
25,17,70.0,0.5144948243250042,0.11390825810674111,3.33193458816575,0.4991931466367108,0.11437973637195643
26,24,78.5,0.23247385076133234,0.11251042993531347,11.378841088857902,0.23298204562112135,0.11153457620571712
27,9,89.0,0.5068930399447984,0.11734024617560299,8.55379244964557,0.5049345272204108,0.11829915164651086
28,15,73.0,0.38667711260525534,0.11211679443357898,11.700808153337992,0.3646122853513658,0.11174905912776648
29,24,70.5,0.24469604939158066,0.125414834290964,5.908994845612074,0.2674074829530175,0.12627556460308617
30,16,71.5,0.3134892228609176,0.11745048595520591,13.520290074746143,0.29224507891493295,0.11716813284625945
