estimator,theta1,se1,robust_se1,theta2,se2,robust_se2,first_stage_F,partial_r2,abs_diff_from_pooled,rounds,what_leaves_site
concatenated 2SLS,0.018201813045920133,0.01476235132681495,,,,,,,,,individual rows
FedMR (LocalFirstStage),0.018201813045919987,0.014762351326814943,0.014937663027222466,,,,5752.833883283234,0.0944266556550661,1.457167719820518e-16,2,"centred Z'Z, Z'W, Z'Y, W'W, W'Y, Y'Y, n; then H for the robust SE"
FedMR-CF (5 folds),0.014458488128289761,0.015399263076743703,0.015575370934340672,,,,5245.24867597457,0.08681850977054162,,2,"per-fold first-stage moments, then the same statistics"
site 2SLS meta-analysis,0.018042386000130348,0.014747106194710535,,,,,,,0.00015942704578978534,,one estimate and SE per site
per-SNP sumstats IVW,0.018295369161724143,0.014666935664665183,,,,,,,0.00009355611580401033,,"per-SNP beta_x, beta_y, SEs"
naive OLS (no instruments),0.0884597917696339,,,,,,,,,,""
concatenated quadratic 2SLS,0.016963529324308082,0.014465102483758503,,0.14851304929760678,0.03138605588264115,,,,,,individual rows
FedMR quadratic,0.016963529324307922,0.014465102483758483,0.014505739797436431,0.14851304929760664,0.031386055882640776,0.03202057000461007,,,1.5959455978986625e-16,2,"the same statistics with W = [X, X^2], Z = [xhat, xhat^2], centred within site"
FedMR-CF quadratic (5 folds),0.013186638943212314,0.015088647415237202,0.015133269036386374,0.15469536459530392,0.03368907321035865,0.034327107263057946,,,,2,""
site quadratic 2SLS meta-analysis,0.017862712292696724,0.01462216166479282,,0.15617694406052468,0.03127836340971249,,,,0.0076638947629179,,two coefficients and a 2x2 covariance per site
