seed,min_events,median_events,sumstats,sumstats_se,Q,pooled,pooled_se
1,5,26.5,0.22361301924692586,0.19492600213757164,3.650311950373106,0.2482864105120507,0.19123165479593332
2,5,29.5,0.0676455110004892,0.14986679366699177,3.5468302617921115,0.058370230987827953,0.14995339459496726
3,7,27.5,0.4548347587640906,0.17340069181495638,1.6026286274647927,0.4823343805260266,0.174129336825026
4,10,32.5,0.41021529704139,0.19139979124300888,7.267556038920462,0.3893024523124247,0.188673690540651
5,4,24.5,0.20768557559151848,0.17755704150454296,10.632435485100444,0.1692217594863781,0.17547510597446966
6,3,27.5,0.3361987384638771,0.1863551414118225,8.340889743760469,0.33145566859026365,0.18637787635419376
7,7,27.0,0.33720698845191405,0.18719426751402155,5.2007944114097695,0.3043238803481186,0.18714997644042747
8,7,25.5,0.039740897387039474,0.1528770289497811,23.203212007143318,0.02389247670829864,0.1542323445880279
9,5,27.0,-0.0019436186160375192,0.17835520130945753,7.543900030416564,-0.03663759231125026,0.18303266643871263
10,7,33.0,0.0564290448154405,0.2111836519543018,5.37624442719412,0.1409413576404809,0.20566828497975737
11,5,27.0,0.21098596814888004,0.17752583122382182,21.48504729713592,0.251010913547147,0.17726442423803718
12,7,23.5,0.32256256303200975,0.21170010066539932,3.986264089487012,0.32466539629875024,0.21097387421420605
13,7,26.0,0.1650846054005668,0.1899665005065486,10.113788211675507,0.1901354984032774,0.18632111008583851
14,7,31.5,0.42472777610090234,0.15720506173832408,13.86215741175651,0.38900120260169707,0.1551266559916528
15,6,28.5,0.40146091060415756,0.18344283231977745,4.393770373598765,0.4465305431683135,0.18280866235005663
16,7,29.0,0.30256633262273347,0.19030084589947086,6.053874813137054,0.289777609013079,0.18992116263026051
17,9,25.5,0.26223732909288755,0.16582805357243993,7.331510661957598,0.26471665688533297,0.166289142591204
18,4,25.5,0.17023064047062317,0.16114418826526364,18.34137132489974,0.17921384796557163,0.1621269979876837
19,6,26.0,0.4109316539694206,0.1882035251785635,7.012145988323351,0.40936247733930103,0.18993673536018957
20,8,26.0,0.2932121361344688,0.17232521404792872,12.767028841571864,0.25580112200384697,0.17096013663880114
21,5,25.5,0.1457240069891312,0.18922381752388467,2.0087243947418614,0.1399357613850154,0.18774692863127362
22,14,34.5,0.38642253768489726,0.18862816305961058,20.469205424085235,0.38727442689352604,0.1879092086290689
23,4,25.0,0.36922468550329324,0.15393192218913224,16.40580354728474,0.38060149611587485,0.15046739537499593
24,7,27.0,0.5901610954481123,0.18678520218192993,5.9178621780275265,0.49120882350963463,0.18564194284767355
25,4,23.5,0.8512310868549963,0.20079733387252144,8.250467775032053,0.8512452587556602,0.19753633658120362
26,10,30.0,0.11700145525883257,0.18727280365192217,17.5966053776866,0.1151870473928341,0.18443850471149725
27,2,31.0,0.23696584279791455,0.19205192127790102,8.640505179269063,0.23431957633901526,0.1935088893544739
28,6,24.5,0.276583021956521,0.1937680219023489,14.228786281075996,0.22483491712039932,0.1919413011182387
29,11,27.0,0.25756590538961155,0.20564352011931913,10.822765746156751,0.304241841986184,0.20657044368074406
30,7,26.5,0.47966101171092335,0.19044910294126535,7.733876428343204,0.4719733779630256,0.1894784862581475
