site,n,avg_slope,ivw,ivw_se,naive_ols,mean_F,q_theta1,q_theta1_se,q_theta2,q_theta2_se
site01,1426,0.21143057503506313,0.2314950171503951,0.08249356857223798,0.3519858667650546,9.136689579992005,0.23365407686349898,0.08190750315272732,-0.05362234111944983,0.16519156711987448
site02,2361,0.20635324015247777,0.15658048120037973,0.06944431040520326,0.33567495950068243,12.972426609445222,0.10921161962567649,0.08325557014667119,-0.5421132536195237,0.2795252947999887
site03,3480,0.20560344827586205,0.31367330229929774,0.06924667134687396,0.35047109307296365,13.830863587818419,0.29922219912271913,0.06903397953714782,-0.08059803985107764,0.17732807061634143
site04,4556,0.2067603160667252,0.24150961426392545,0.053915690798941165,0.31280351814431034,20.999115115960393,0.28458618498946875,0.06127055360138825,-0.23456337875307853,0.16199638377049264
site05,4631,0.21073202332109695,0.2794630032217476,0.06063973148614638,0.3550284861399953,16.403133091411256,0.2813222488083595,0.05754628627250685,-0.05633475225933901,0.12423227593598245
site06,5629,0.20524071771184935,0.16404434866137246,0.07309274431036623,0.2956621367300236,12.215892432478999,0.15180741090705058,0.0810850843552856,0.09983126921491024,0.32864100081051817
site07,7141,0.2046772160761798,0.23608102332765332,0.0342876359122221,0.2893109142764524,48.72818439415588,0.2432161978454053,0.033758089841758813,-0.12184320578205182,0.06493474323177546
site08,8154,0.20772626931567326,0.21690271965702212,0.027965726751191206,0.30591905866312236,79.06965190466401,0.21751633813153684,0.02721110264595125,0.01719816297542949,0.04576314690503887
site09,8424,0.20655270655270655,0.3073844919928932,0.05814439903319881,0.25649938030524044,17.297896540205066,0.3079002781756409,0.06248663572922089,-0.016225554407650278,0.35373584820491033
site10,9380,0.20881663113006396,0.1623852208692842,0.03810205776617396,0.2724232180954023,36.80312016767169,0.16263538458889754,0.037205398773480856,-0.020807150534390577,0.11462861795421823
