site,n,avg_slope,ivw,ivw_se,naive_ols,mean_F
site01,428,0.3,0.2115991474071142,0.5856142772985465,0.2211676758188105,2.4125541058370676
site02,708,0.3,0.8105708614367404,0.6791663522092737,0.5671584751549776,3.509047768541812
site03,1044,0.3,0.24624328729991973,0.569702779863838,0.6931096085402191,3.6989102251027015
site04,1367,0.3,-1.180595163681983,0.4294819131217091,0.35224184049918605,7.383389334680413
site05,1389,0.3,-0.10230454396479316,0.49505742602898645,0.627008276445676,7.014302608373919
site06,1689,0.3,0.24300260005174693,0.5463705844754737,0.3284236331978238,3.768914431923001
site07,2143,0.3,0.6705402842369753,0.2853143017313834,0.5678681003901029,14.514340242298843
site08,2447,0.3,0.6868847803021795,0.20482738769634465,0.5946328282712057,26.412540594239438
site09,2527,0.3,-0.11653669074043822,0.46337605696616346,0.22555132486540147,5.265776942646395
site10,2814,0.3,0.06931370189497565,0.3422138143266482,0.30227711734086027,9.708488831513886
