site,n,avg_slope,ivw,ivw_se,naive_ols,mean_F
site01,1426,0.3,0.3246904761002181,0.09603139810418412,0.3828869994400142,9.136689579992005
site02,2361,0.3,0.2486783661456963,0.08225530601714662,0.4527330933115847,12.972426609445222
site03,3480,0.3,0.3373305942092247,0.07706879081124277,0.39838314905958044,13.830863587818419
site04,4556,0.3,0.2475149738885799,0.063521496632068,0.34676003198180644,20.999115115960393
site05,4631,0.3,0.23306137969461208,0.07181032914336506,0.4127026716018412,16.403133091411256
site06,5629,0.3,0.3911066418946899,0.08238269439599968,0.3778231911658533,12.215892432478999
site07,7141,0.3,0.24343046043874295,0.04047249490714287,0.4044772317948063,48.72818439415588
site08,8154,0.3,0.30622882552159475,0.0324085597776444,0.4088079964358927,79.06965190466401
site09,8424,0.3,0.3624692830095978,0.06871453879082216,0.34544169649031903,17.297896540205066
site10,9380,0.3,0.29285853329588357,0.0472040473388281,0.34777335534589987,36.80312016767169
