site,n,avg_slope,ivw,ivw_se,naive_ols,mean_F,q_theta1,q_theta1_se,q_theta2,q_theta2_se
site01,1426,0.28991472521930545,0.30263800099958205,0.08601025968878072,0.4228061919734274,9.136689579992005,0.32891229684106366,0.08182291778773652,0.14070704932179345,0.1650209748241723
site02,2361,0.2994674094481593,0.22878895192771367,0.07258228121649499,0.42956729573561037,12.972426609445225,0.19906795412702397,0.08338411798778564,-0.3416268155814398,0.27995688602108815
site03,3480,0.30031829957854567,0.3838518782181262,0.07159684481161617,0.4373395526868766,13.830863587818422,0.39176717370171554,0.06897961371347285,0.11295072950858387,0.17718842074123445
site04,4556,0.3005285586875762,0.3718009437947814,0.056434237658406855,0.41760856317695466,20.9991151159604,0.3754605729321757,0.06115326005648273,-0.029032735143762135,0.16168626530416205
site05,4631,0.2947310402449852,0.3819164154100967,0.06282670968815816,0.4390131282961969,16.403133091411256,0.37489579177845744,0.057516510500299156,0.1542863408562987,0.12416799529879773
site06,5629,0.30593931959445786,0.27690832359530715,0.07601505153031854,0.3880888307156833,12.215892432478997,0.24322976540655392,0.08115058842347311,0.3052150866513329,0.32890649134672467
site07,7141,0.30804670106854337,0.34416125540387726,0.03574199333453441,0.3866743046512066,48.72818439415588,0.33521247532318754,0.0337080675407019,0.08219303750553476,0.06483852376882035
site08,8154,0.2985077628241904,0.30754563220389286,0.029133396872348026,0.39776797152213395,79.06965190466401,0.310058289509308,0.027191866813358126,0.21732197992778718,0.04573079642500661
site09,8424,0.29697977331224906,0.3846668647198052,0.06061279017321463,0.3348717360786485,17.297896540205073,0.39888848638329605,0.062471913098641155,0.20341577204478978,0.3536525036281486
site10,9380,0.2935736852103472,0.2468392834432719,0.03987009484311964,0.3587173225078429,36.80312016767169,0.25519721480689594,0.03717717264988879,0.17351808133526775,0.11454165418971338
