site,n,avg_slope,ivw,ivw_se,naive_ols,mean_F,q_theta1,q_theta1_se,q_theta2,q_theta2_se
site01,1426,-0.010085274780694542,0.0020060214937675158,0.08057988653092568,0.12280619197342724,9.136689579992005,0.028912296841064073,0.0818229177877365,0.14070704932179345,0.16502097482417005
site02,2361,-0.0005325905518406944,-0.07132951611250807,0.06786788168734521,0.12956729573561024,12.972426609445222,-0.10093204587297622,0.0833841179877858,-0.34162681558144115,0.2799568860210946
site03,3480,0.0003182995785456746,0.08378442273633,0.06708038128456806,0.13733955268687661,13.830863587818419,0.09176717370171586,0.0689796137134733,0.11295072950858444,0.1771884207412465
site04,4556,0.0005285586875762544,0.07153337735282782,0.05293484005438612,0.11760856317695471,20.999115115960393,0.07546057293217562,0.06115326005648228,-0.029032735143761507,0.16168626530415714
site05,4631,-0.005268959755014792,0.08182597428949506,0.05846414077886693,0.1390131282961969,16.403133091411256,0.07489579177845708,0.05751651050029916,0.15428634085629922,0.12416799529879943
site06,5629,0.005939319594457882,-0.0231194712359564,0.07205434498845367,0.08808883071568328,12.215892432478999,-0.05677023459344597,0.08115058842347499,0.3052150866513328,0.32890649134676275
site07,7141,0.008046701068543397,0.044084978753550524,0.03363735254499479,0.08667430465120647,48.72818439415588,0.03521247532318756,0.033708067540701894,0.0821930375055347,0.0648385237688195
site08,8154,-0.0014922371758096008,0.007466611454783692,0.027458448708221297,0.09776797152213411,79.06965190466401,0.010058289509308312,0.02719186681335812,0.21732197992778718,0.04573079642500673
site09,8424,-0.0030202266877509334,0.08466188957579251,0.05791011133209213,0.03487173607864853,17.297896540205066,0.09888848638329609,0.06247191309863685,0.20341577204478192,0.35365250362799927
site10,9380,-0.006426314789652746,-0.05322977057746154,0.03766540877265557,0.05871732250784308,36.80312016767169,-0.044802785193104,0.03717717264988877,0.17351808133526725,0.1145416541897048
