seed,ols,tsls
1,0.3881575237473703,0.28735865594328075
2,0.3959448351862221,0.2634327658307609
3,0.3670941663080248,0.2537744158205078
4,0.3899866323246547,0.2214081107067394
5,0.3943480989273411,0.2385281312929776
6,0.4216768654258214,0.31222412551726847
7,0.38696502849268305,0.26188790410956264
8,0.38728097537636075,0.28919505211976415
9,0.41200258279156,0.3192996400407484
10,0.3841723521032168,0.3244456800556841
11,0.4095362593404421,0.27540920044542627
12,0.3825242800764794,0.3174178145592807
13,0.4064778361674014,0.32924380872823517
14,0.3864821110059807,0.35058289763921724
15,0.3970901748538637,0.35539593265777314
16,0.38459582216811977,0.2832602710604005
17,0.3945895192214576,0.28944201043206397
18,0.397703321498229,0.383809377066944
19,0.38202425495566106,0.3296570315706813
20,0.39141303582715653,0.31276967588272725
21,0.38391025918570987,0.33780372194654984
22,0.3949637602214801,0.3653205299777041
23,0.3996275268321314,0.29281710181785625
24,0.3763303857283719,0.2951206465256936
25,0.3856597871382392,0.26690780883963383
26,0.3690965188443924,0.26829841724045134
27,0.372087461289171,0.2618709576508297
28,0.38188729446476244,0.3220782603721559
29,0.3844420382443525,0.23222757037744474
30,0.39176218811473046,0.2675099088131623
31,0.3849534552990833,0.31241054915520056
32,0.37808990520215596,0.29765379223784644
33,0.39191429603520206,0.2934960379351049
34,0.3890657605815403,0.3065991888828091
35,0.3914507201333907,0.3538721190442753
36,0.38853214163014527,0.27403207593723905
37,0.38632296968011226,0.3427663882936165
38,0.39162633692133886,0.34552908795472853
39,0.41268642203214634,0.30021519119053613
40,0.38812256252096355,0.2301930794443287
41,0.3980938549231147,0.28737268582643155
42,0.39192074244809955,0.24273691352679078
43,0.3848413934170753,0.37038231677791883
44,0.3837553108611483,0.3295974362307845
45,0.36553898730837553,0.2562401028743908
46,0.38976101508927724,0.31357712721996467
47,0.40146918546934657,0.32632621382611243
48,0.3997438977938733,0.3190161525898328
49,0.3685791481793971,0.3324277722135847
50,0.40672659866603433,0.29656015445665646
51,0.3764303197024447,0.24381474154237753
52,0.4149928511107008,0.38342749564850087
53,0.38453049612367857,0.30585302410574616
54,0.39475612187531695,0.3212430537592216
55,0.38471048943007086,0.323186919177072
56,0.3974387458145118,0.3074210674900388
57,0.3969921667677856,0.2603772123327059
58,0.4062923729081472,0.33839937446932883
59,0.3861233605150425,0.29983211474511307
60,0.4014350438720944,0.34577212560745835
61,0.38018857817188256,0.29238698572231475
62,0.3843530295491403,0.2705520667233959
63,0.40340863545565486,0.3370633193435246
64,0.393261284223191,0.301212372236316
65,0.41359788548576876,0.34606228104906805
