axis,level,estimator,bias,rmse,mean_se,coverage,identity_max,mean_F,seeds
sites,2,pooled,0.011432531856372443,0.04830983701518556,0.04453492155193816,0.93,1.2212453270876722e-15,17.066102928408046,100
sites,2,fedmr_cf,0.004065338685610612,0.05255846483768939,0.049004886189044576,0.94,1.2212453270876722e-15,17.066102928408046,100
sites,2,site_meta,0.011699280043607582,0.047983584425318505,0.04452155809792543,0.93,1.2212453270876722e-15,17.066102928408046,100
sites,2,sumstats,0.011360679470348307,0.04823473987401557,0.047105571755035366,0.95,1.2212453270876722e-15,17.066102928408046,100
sites,5,pooled,0.003999007804528479,0.02948617232996912,0.027547873707693453,0.94,1.1657341758564144e-15,16.82692466945284,100
sites,5,fedmr_cf,-0.0029368338218249686,0.031368727292988126,0.029860277950607205,0.94,1.1657341758564144e-15,16.82692466945284,100
sites,5,site_meta,0.004428234745648385,0.029339709117191554,0.027542089833085794,0.94,1.1657341758564144e-15,16.82692466945284,100
sites,5,sumstats,0.004176029833425656,0.02992935108139316,0.029132037551770823,0.94,1.1657341758564144e-15,16.82692466945284,100
sites,10,pooled,0.005140182660902869,0.022247754820658487,0.01941196917181238,0.93,8.326672684688674e-16,16.65492117461544,100
sites,10,fedmr_cf,-0.0012950330615192837,0.023684845704384866,0.02098494265773844,0.94,8.326672684688674e-16,16.65492117461544,100
sites,10,site_meta,0.0055894926038581325,0.02189462573405539,0.01938024064270621,0.92,8.326672684688674e-16,16.65492117461544,100
sites,10,sumstats,0.004981652051671472,0.02175933378675888,0.020486845031706735,0.93,8.326672684688674e-16,16.65492117461544,100
sites,20,pooled,0.006695070334061832,0.015346424657983585,0.013744479822808879,0.92,1.27675647831893e-15,16.339121508500003,100
sites,20,fedmr_cf,-0.000059742509798804135,0.014734609455385917,0.014849667169596226,0.94,1.27675647831893e-15,16.339121508500003,100
sites,20,site_meta,0.007058430373750892,0.01544858714825012,0.013731797989441154,0.92,1.27675647831893e-15,16.339121508500003,100
sites,20,sumstats,0.0063907489368839636,0.015217306358487948,0.014528538821008468,0.93,1.27675647831893e-15,16.339121508500003,100
instrument_strength,h2 0.02,pooled,0.026038004670283842,0.05414795002901117,0.03930870691972038,0.87,1.3877787807814457e-15,3.8288196352173434,100
instrument_strength,h2 0.02,fedmr_cf,0.00018630000282735036,0.074523260111539,0.06018967494351154,0.93,1.3877787807814457e-15,3.8288196352173434,100
instrument_strength,h2 0.02,site_meta,0.026325148344551477,0.05327135497158489,0.03949837755398418,0.86,1.3877787807814457e-15,3.8288196352173434,100
instrument_strength,h2 0.02,sumstats,0.02501632858646687,0.05366776249652192,0.04168043333954581,0.91,1.3877787807814457e-15,3.8288196352173434,100
instrument_strength,h2 0.05,pooled,0.011221880543947006,0.03241477670212825,0.026685646521041963,0.9,5.551115123125783e-16,8.470007490048916,100
instrument_strength,h2 0.05,fedmr_cf,-0.0010915351925758002,0.036952797209870436,0.03144269663380005,0.95,5.551115123125783e-16,8.470007490048916,100
instrument_strength,h2 0.05,site_meta,0.011864284349322771,0.03175138521921892,0.02668040735570385,0.91,5.551115123125783e-16,8.470007490048916,100
instrument_strength,h2 0.05,sumstats,0.010811726912293642,0.031548152580952164,0.02818984448298735,0.92,5.551115123125783e-16,8.470007490048916,100
instrument_strength,h2 0.10,pooled,0.005140182660902869,0.022247754820658487,0.01941196917181238,0.93,8.326672684688674e-16,16.65492117461544,100
instrument_strength,h2 0.10,fedmr_cf,-0.0012950330615192837,0.023684845704384866,0.02098494265773844,0.94,8.326672684688674e-16,16.65492117461544,100
instrument_strength,h2 0.10,site_meta,0.0055894926038581325,0.02189462573405539,0.01938024064270621,0.92,8.326672684688674e-16,16.65492117461544,100
instrument_strength,h2 0.10,sumstats,0.004981652051671472,0.02175933378675888,0.020486845031706735,0.93,8.326672684688674e-16,16.65492117461544,100
instrument_strength,h2 0.20,pooled,0.0020770194721327403,0.015425502167962445,0.013995176897331018,0.94,1.0547118733938987e-15,35.702545691192405,100
