site,round,x,f,f_lo,f_hi
all,2,-3.0,-0.9546054391377596,-1.0424388977378276,-0.8667719805376916
all,2,-2.9000000953674316,-0.9227852881792573,-1.0076909676181403,-0.8378796087403744
all,2,-2.799999952316284,-0.8909650613555309,-0.9729429546528525,-0.8089871680582092
all,2,-2.700000047683716,-0.8591449103970284,-0.938195024533165,-0.780094796260892
all,2,-2.5999999046325684,-0.827324683573302,-0.9034470115678772,-0.7512023555787268
all,2,-2.5,-0.7955045326147997,-0.8686990814481897,-0.7223099837814096
all,2,-2.4000000953674316,-0.7636843816562974,-0.8339511513285023,-0.6934176119840925
all,2,-2.299999952316284,-0.731864154832571,-0.7992031383632145,-0.6645251713019273
all,2,-2.200000047683716,-0.7000440038740685,-0.764455208243527,-0.63563279950461
all,2,-2.0999999046325684,-0.6682237770503421,-0.7297071952782392,-0.6067403588224449
all,2,-2.0,-0.6364036260918398,-0.6949592651585518,-0.5778479870251277
all,2,-1.899999976158142,-0.6045834372007254,-0.6602112936160642,-0.5489555807853865
all,2,-1.7999999523162842,-0.572763248309611,-0.6254633220735766,-0.5200631745456454
all,2,-1.7000000476837158,-0.5409430973511086,-0.590715391953889,-0.4911708027483281
all,2,-1.600000023841858,-0.5091229084599942,-0.5559674204114015,-0.46227839650858693
all,2,-1.5,-0.4773027195688798,-0.5212194488689138,-0.4333859902688458
all,2,-1.399999976158142,-0.44548253067776544,-0.48647147732642626,-0.4044935840291046
all,2,-1.2999999523162842,-0.413662341786651,-0.4517235057839386,-0.3756011777893634
all,2,-1.2000000476837158,-0.3818421908281487,-0.41697557566425114,-0.34670880599204623
all,2,-1.100000023841858,-0.35002200193703426,-0.3822276041217635,-0.317816399752305
all,2,-1.0,-0.3182018130459199,-0.3474796325792759,-0.28892399351256387
all,2,-0.8999999761581421,-0.2863816241548055,-0.3127316610367883,-0.2600315872728227
all,2,-0.800000011920929,-0.2545614542299971,-0.27798371020570073,-0.23113919825429347
all,2,-0.699999988079071,-0.22274126533888272,-0.24323573866321313,-0.2022467920145523
all,2,-0.6000000238418579,-0.19092109541407434,-0.20848778783212557,-0.17335440299602312
all,2,-0.5,-0.15910090652295994,-0.17373981628963794,-0.14446199675628194
all,2,-0.4000000059604645,-0.12728072711499855,-0.13899185510285036,-0.11556959912714673
all,2,-0.30000001192092896,-0.09546054770703717,-0.10424389391606279,-0.08667720149801156
all,2,-0.20000000298023224,-0.06364036355749927,-0.06949592755142518,-0.057784799563573366
all,2,-0.10000000149011612,-0.03182018177874964,-0.03474796377571259,-0.028892399781786683
all,2,0.0,0.0,0.0,0.0
all,2,0.10000000149011612,0.03182018177874964,0.028892399781786683,0.03474796377571259
all,2,0.20000000298023224,0.06364036355749927,0.057784799563573366,0.06949592755142518
all,2,0.30000001192092896,0.09546054770703717,0.08667720149801156,0.10424389391606279
all,2,0.4000000059604645,0.12728072711499855,0.11556959912714673,0.13899185510285036
all,2,0.5,0.15910090652295994,0.14446199675628194,0.17373981628963794
all,2,0.6000000238418579,0.19092109541407434,0.17335440299602312,0.20848778783212557
all,2,0.699999988079071,0.22274126533888272,0.2022467920145523,0.24323573866321313
all,2,0.800000011920929,0.2545614542299971,0.23113919825429347,0.27798371020570073
all,2,0.8999999761581421,0.2863816241548055,0.2600315872728227,0.3127316610367883
all,2,1.0,0.3182018130459199,0.28892399351256387,0.3474796325792759
all,2,1.100000023841858,0.35002200193703426,0.317816399752305,0.3822276041217635
all,2,1.2000000476837158,0.3818421908281487,0.34670880599204623,0.41697557566425114
all,2,1.2999999523162842,0.413662341786651,0.3756011777893634,0.4517235057839386
all,2,1.399999976158142,0.44548253067776544,0.4044935840291046,0.48647147732642626
all,2,1.5,0.4773027195688798,0.4333859902688458,0.5212194488689138
all,2,1.600000023841858,0.5091229084599942,0.46227839650858693,0.5559674204114015
all,2,1.7000000476837158,0.5409430973511086,0.4911708027483281,0.590715391953889
all,2,1.7999999523162842,0.572763248309611,0.5200631745456454,0.6254633220735766
all,2,1.899999976158142,0.6045834372007254,0.5489555807853865,0.6602112936160642
all,2,2.0,0.6364036260918398,0.5778479870251277,0.6949592651585518
all,2,2.0999999046325684,0.6682237770503421,0.6067403588224449,0.7297071952782392
all,2,2.200000047683716,0.7000440038740685,0.63563279950461,0.764455208243527
all,2,2.299999952316284,0.731864154832571,0.6645251713019273,0.7992031383632145
all,2,2.4000000953674316,0.7636843816562974,0.6934176119840925,0.8339511513285023
all,2,2.5,0.7955045326147997,0.7223099837814096,0.8686990814481897
all,2,2.5999999046325684,0.827324683573302,0.7512023555787268,0.9034470115678772
all,2,2.700000047683716,0.8591449103970284,0.780094796260892,0.938195024533165
all,2,2.799999952316284,0.8909650613555309,0.8089871680582092,0.9729429546528525
all,2,2.9000000953674316,0.9227852881792573,0.8378796087403744,1.0076909676181403
all,2,3.0,0.9546054391377596,0.8667719805376916,1.0424388977378276
