site_id,n,h2_x,gamma_x,gamma_y,avg_slope,seed
site01,1426,0.10468729492112656,0.3317375687039112,0.3526748968918955,0.28991472521930545,2
site02,2361,0.0983844232651901,0.4261315055588188,0.31900176507131445,0.2994674094481593,3
site03,3480,0.07871948779460887,0.31133944118807677,0.4229701172846621,0.30031829957854567,4
site04,4556,0.08406833443747927,0.3094559417173546,0.2778342732570383,0.3005285586875762,5
site05,4631,0.07001665397419235,0.3888089603561984,0.32869869023456955,0.2947310402449852,6
site06,5629,0.032307498700433056,0.2172345979329675,0.4296615084094029,0.30593931959445786,7
site07,7141,0.12224879830961197,0.3331942488519908,0.27562878990312223,0.30804670106854337,8
site08,8154,0.18675729075487063,0.307260270031282,0.36681581930468377,0.2985077628241904,9
site09,8424,0.03531466565804137,0.18924179916560904,0.2964546170823844,0.29697977331224906,10
site10,9380,0.07640064107268493,0.38745438353445893,0.14638597145378068,0.2935736852103472,11
