site,round,stage,n_train,n_test,loss,mse,mae,r2,fs_r2
site01,0,global,1140,286,2.125898122787476,2.125898122787476,1.1344501972198486,-0.5631833076477051,0.0217035588937736
site01,0,local,1140,286,1.2689096927642822,1.2689096927642822,0.8925647735595703,0.0669644474983215,0.0217035588937736
site01,1,global,1140,286,1.226792335510254,1.226792335510254,0.886022686958313,0.0979335308074951,0.0217035588937736
site01,1,local,1140,286,1.219893455505371,1.219893455505371,0.8772644400596619,0.103006362915039,0.0217035588937736
site01,2,global,1140,286,1.233928918838501,1.233928918838501,0.875946044921875,0.0926860570907592,0.0217035588937736
site01,2,local,1140,286,1.231797695159912,1.231797695159912,0.874652624130249,0.094253122806549,0.0217035588937736
site01,3,global,1140,286,1.2346726655960083,1.2346726655960083,0.8741401433944702,0.0921390652656555,0.0217035588937736
site01,3,local,1140,286,1.2483716011047363,1.2483716011047363,0.8768021464347839,0.0820662379264831,0.0217035588937736
site01,4,global,1140,286,1.2297263145446775,1.2297263145446775,0.8748217821121216,0.0957762002944946,0.0217035588937736
site01,4,local,1140,286,1.2368793487548828,1.2368793487548828,0.873335063457489,0.0905165076255798,0.0217035588937736
site02,0,global,1888,473,1.9796011447906492,1.9796011447906492,1.1426068544387815,-0.5093265771865845,0.092725156891254
site02,0,local,1888,473,1.191602110862732,1.191602110862732,0.8705804347991943,0.0914751887321472,0.092725156891254
site02,1,global,1888,473,1.1687228679656982,1.1687228679656982,0.8602492809295654,0.1089192628860473,0.092725156891254
site02,1,local,1888,473,1.1362144947052002,1.1362144947052002,0.8502368927001953,0.1337049007415771,0.092725156891254
site02,2,global,1888,473,1.1362930536270142,1.1362930536270142,0.8476840853691101,0.1336449980735778,0.092725156891254
site02,2,local,1888,473,1.1330244541168213,1.1330244541168213,0.8471537828445435,0.1361370682716369,0.092725156891254
site02,3,global,1888,473,1.1306278705596924,1.1306278705596924,0.8456995487213135,0.1379643678665161,0.092725156891254
site02,3,local,1888,473,1.1266965866088867,1.1266965866088867,0.8464285731315613,0.1409617066383361,0.092725156891254
site02,4,global,1888,473,1.1380342245101929,1.1380342245101929,0.847717821598053,0.1323175430297851,0.092725156891254
site02,4,local,1888,473,1.1317222118377686,1.1317222118377686,0.8466561436653137,0.1371299624443054,0.092725156891254
site03,0,global,2784,696,2.0560269355773926,2.0560269355773926,1.1557084321975708,-0.4812270402908325,0.063061995104685
site03,0,local,2784,696,1.239333987236023,1.239333987236023,0.8901659846305847,0.1071444749832153,0.063061995104685
site03,1,global,2784,696,1.2357242107391355,1.2357242107391355,0.8896238803863525,0.1097450256347656,0.063061995104685
site03,1,local,2784,696,1.238323211669922,1.238323211669922,0.8914207220077515,0.107872724533081,0.063061995104685
site03,2,global,2784,696,1.2297651767730713,1.2297651767730713,0.8883953094482422,0.1140381693840026,0.063061995104685
site03,2,local,2784,696,1.238886833190918,1.238886833190918,0.8926395177841187,0.1074666380882263,0.063061995104685
site03,3,global,2784,696,1.2333357334136963,1.2333357334136963,0.8910340070724487,0.1114658117294311,0.063061995104685
site03,3,local,2784,696,1.2371277809143066,1.2371277809143066,0.890088677406311,0.1087338924407959,0.063061995104685
site03,4,global,2784,696,1.237886667251587,1.237886667251587,0.8930215239524841,0.1081871390342712,0.063061995104685
site03,4,local,2784,696,1.242570161819458,1.242570161819458,0.8929139971733093,0.1048130393028259,0.063061995104685
site04,0,global,3644,912,2.011709690093994,2.011709690093994,1.1461565494537354,-0.5337237119674683,0.080704962135807
site04,0,local,3644,912,1.1624672412872314,1.1624672412872314,0.8589996695518494,0.1137371063232421,0.080704962135807
site04,1,global,3644,912,1.157320499420166,1.157320499420166,0.8565782308578491,0.1176609396934509,0.080704962135807
site04,1,local,3644,912,1.1543776988983154,1.1543776988983154,0.8526700735092163,0.1199045777320861,0.080704962135807
site04,2,global,3644,912,1.1437838077545166,1.1437838077545166,0.8490398526191711,0.1279813051223755,0.080704962135807
site04,2,local,3644,912,1.161532640457153,1.161532640457153,0.8566036820411682,0.1144496798515319,0.080704962135807
site04,3,global,3644,912,1.1440128087997437,1.1440128087997437,0.8484846353530884,0.1278067231178283,0.080704962135807
site04,3,local,3644,912,1.148308038711548,1.148308038711548,0.8495870232582092,0.1245320439338684,0.080704962135807
site04,4,global,3644,912,1.148896336555481,1.148896336555481,0.8498958349227905,0.1240835189819336,0.080704962135807
site04,4,local,3644,912,1.1618424654006958,1.1618424654006958,0.8564375042915344,0.1142134070396423,0.080704962135807
site05,0,global,3704,927,2.0628013610839844,2.0628013610839844,1.143603801727295,-0.5999854803085327,0.0485916888375729
site05,0,local,3704,927,1.1313341856002808,1.1313341856002808,0.8461350202560425,0.1224950551986694,0.0485916888375729
site05,1,global,3704,927,1.1220650672912598,1.1220650672912598,0.8441155552864075,0.129684567451477,0.0485916888375729
site05,1,local,3704,927,1.123998522758484,1.123998522758484,0.8443533182144165,0.1281849145889282,0.0485916888375729
site05,2,global,3704,927,1.1065822839736938,1.1065822839736938,0.8378296494483948,0.1416935920715332,0.0485916888375729
site05,2,local,3704,927,1.113221287727356,1.113221287727356,0.8384290337562561,0.1365441083908081,0.0485916888375729
site05,3,global,3704,927,1.1041297912597656,1.1041297912597656,0.8370324373245239,0.143595814704895,0.0485916888375729
site05,3,local,3704,927,1.1087950468063354,1.1087950468063354,0.8385688066482544,0.1399772763252258,0.0485916888375729
site05,4,global,3704,927,1.1083416938781738,1.1083416938781738,0.8389484286308289,0.1403289437294006,0.0485916888375729
site05,4,local,3704,927,1.1085983514785769,1.1085983514785769,0.8390969634056091,0.1401298642158508,0.0485916888375729
site06,0,global,4503,1126,2.1133840084075928,2.1133840084075928,1.1714613437652588,-0.5230828523635864,0.0426912030400241
site06,0,local,4503,1126,1.2541083097457886,1.2541083097457886,0.9054344296455384,0.0961837172508239,0.0426912030400241
site06,1,global,4503,1126,1.2327182292938232,1.2327182292938232,0.8943352699279785,0.1115992069244384,0.0426912030400241
site06,1,local,4503,1126,1.238257646560669,1.238257646560669,0.8940625190734863,0.1076070666313171,0.0426912030400241
site06,2,global,4503,1126,1.2237207889556885,1.2237207889556885,0.891116738319397,0.1180835962295532,0.0426912030400241
site06,2,local,4503,1126,1.237457513809204,1.237457513809204,0.9007555246353148,0.1081836819648742,0.0426912030400241
site06,3,global,4503,1126,1.2232166528701782,1.2232166528701782,0.8902463316917419,0.1184468865394592,0.0426912030400241
site06,3,local,4503,1126,1.235076904296875,1.235076904296875,0.8987427949905396,0.1098993420600891,0.0426912030400241
site06,4,global,4503,1126,1.225162386894226,1.225162386894226,0.8910360932350159,0.1170446276664733,0.0426912030400241
site06,4,local,4503,1126,1.2315559387207031,1.2315559387207031,0.8963882327079773,0.1124369502067565,0.0426912030400241
