site,round,stage,n_train,n_test,loss,mse,mae,r2,fs_r2
site01,0,global,1140,286,1.703269362449646,1.703269362449646,1.039562463760376,-0.2519499063491821,0.0217035588937736
site01,0,local,1140,286,1.2906863689422607,1.2906863689422607,0.8896302580833435,0.0513100028038024,0.0217035588937736
site01,1,global,1140,286,1.243131160736084,1.243131160736084,0.8840193152427673,0.0862643718719482,0.0217035588937736
site01,1,local,1140,286,1.235310435295105,1.235310435295105,0.8781701922416687,0.0920128226280212,0.0217035588937736
site01,2,global,1140,286,1.2455638647079468,1.2455638647079468,0.8774636387825012,0.0844762921333313,0.0217035588937736
site01,2,local,1140,286,1.2293500900268557,1.2293500900268557,0.8746574521064758,0.096393883228302,0.0217035588937736
site01,3,global,1140,286,1.236030101776123,1.236030101776123,0.8762229681015015,0.0914838314056396,0.0217035588937736
site01,3,local,1140,286,1.2411558628082275,1.2411558628082275,0.8753948211669922,0.0877162814140319,0.0217035588937736
site01,4,global,1140,286,1.2304883003234863,1.2304883003234863,0.8777194023132324,0.0955572724342346,0.0217035588937736
site01,4,local,1140,286,1.2332590818405151,1.2332590818405151,0.8761005401611328,0.0935206413269043,0.0217035588937736
site02,0,global,1888,473,1.973828911781311,1.973828911781311,1.1149709224700928,-0.4414547681808471,0.092725156891254
site02,0,local,1888,473,1.1612038612365725,1.1612038612365725,0.8585081100463867,0.1519919633865356,0.092725156891254
site02,1,global,1888,473,1.158821702003479,1.158821702003479,0.8563835024833679,0.1537315845489502,0.092725156891254
site02,1,local,1888,473,1.1326179504394531,1.1326179504394531,0.8498122096061707,0.1728678345680236,0.092725156891254
site02,2,global,1888,473,1.1332437992095947,1.1332437992095947,0.8474560976028442,0.172410786151886,0.092725156891254
site02,2,local,1888,473,1.1383421421051023,1.1383421421051023,0.8497098684310913,0.1686874628067016,0.092725156891254
site02,3,global,1888,473,1.132026195526123,1.132026195526123,0.8466768264770508,0.1732999682426452,0.092725156891254
site02,3,local,1888,473,1.130443096160889,1.130443096160889,0.849351704120636,0.1744560599327087,0.092725156891254
site02,4,global,1888,473,1.14146089553833,1.14146089553833,0.8488723635673523,0.1664099097251892,0.092725156891254
site02,4,local,1888,473,1.1386268138885498,1.1386268138885498,0.8510609865188599,0.1684796214103698,0.092725156891254
site03,0,global,2784,696,1.900197148323059,1.900197148323059,1.1081624031066897,-0.345139741897583,0.063061995104685
site03,0,local,2784,696,1.2256357669830322,1.2256357669830322,0.8871887922286987,0.1323788166046142,0.063061995104685
site03,1,global,2784,696,1.2321707010269165,1.2321707010269165,0.8883312940597534,0.1277527213096618,0.063061995104685
site03,1,local,2784,696,1.2376803159713743,1.2376803159713743,0.8925411105155945,0.1238524913787841,0.063061995104685
site03,2,global,2784,696,1.228309154510498,1.228309154510498,0.8869506120681763,0.1304863095283508,0.063061995104685
site03,2,local,2784,696,1.2420107126235962,1.2420107126235962,0.8947769403457642,0.1207870244979858,0.063061995104685
site03,3,global,2784,696,1.230171799659729,1.230171799659729,0.8890761733055115,0.1291677355766296,0.063061995104685
site03,3,local,2784,696,1.2363054752349854,1.2363054752349854,0.8897407054901123,0.1248257160186767,0.063061995104685
site03,4,global,2784,696,1.235637664794922,1.235637664794922,0.8914095163345337,0.1252984404563903,0.063061995104685
site03,4,local,2784,696,1.2411983013153076,1.2411983013153076,0.8933618664741516,0.1213621497154235,0.063061995104685
site04,0,global,3644,912,1.927847981452942,1.927847981452942,1.0949490070343018,-0.4017493724822998,0.080704962135807
site04,0,local,3644,912,1.14972984790802,1.14972984790802,0.8530387878417969,0.1640248298645019,0.080704962135807
site04,1,global,3644,912,1.159003973007202,1.159003973007202,0.8555261492729187,0.1572815775871276,0.080704962135807
site04,1,local,3644,912,1.1499518156051636,1.1499518156051636,0.8502746224403381,0.1638633608818054,0.080704962135807
site04,2,global,3644,912,1.14487886428833,1.14487886428833,0.8494250178337097,0.1675519943237304,0.080704962135807
site04,2,local,3644,912,1.1550772190093994,1.1550772190093994,0.854049563407898,0.1601366996765136,0.080704962135807
site04,3,global,3644,912,1.145197868347168,1.145197868347168,0.850027322769165,0.1673200726509094,0.080704962135807
site04,3,local,3644,912,1.146056056022644,1.146056056022644,0.8506647944450378,0.166696012020111,0.080704962135807
site04,4,global,3644,912,1.1488617658615112,1.1488617658615112,0.8515403866767883,0.1646559834480285,0.080704962135807
site04,4,local,3644,912,1.1651413440704346,1.1651413440704346,0.8591623902320862,0.1528190374374389,0.080704962135807
site05,0,global,3704,927,1.849284529685974,1.849284529685974,1.060959815979004,-0.3806331157684326,0.0485916888375729
site05,0,local,3704,927,1.1174054145812988,1.1174054145812988,0.8416234254837036,0.1657708883285522,0.0485916888375729
site05,1,global,3704,927,1.1217962503433228,1.1217962503433228,0.8435266613960266,0.1624928116798401,0.0485916888375729
site05,1,local,3704,927,1.110832452774048,1.110832452774048,0.8395110964775085,0.1706781387329101,0.0485916888375729
site05,2,global,3704,927,1.1043336391448977,1.1043336391448977,0.8370819091796875,0.1755300164222717,0.0485916888375729
site05,2,local,3704,927,1.118404746055603,1.118404746055603,0.8405026197433472,0.1650248169898986,0.0485916888375729
site05,3,global,3704,927,1.101332664489746,1.101332664489746,0.8357997536659241,0.1777704954147339,0.0485916888375729
site05,3,local,3704,927,1.1050721406936646,1.1050721406936646,0.8367614150047302,0.1749786734580993,0.0485916888375729
site05,4,global,3704,927,1.1055493354797363,1.1055493354797363,0.837855875492096,0.1746224164962768,0.0485916888375729
