site,round,x,f,f_lo,f_hi
all,2,-3.0,-0.6724280865726235,-0.7579420014209918,-0.5869141717242553
all,2,-2.9000000953674316,-0.6500138383961159,-0.7326772921346194,-0.5673503846576124
all,2,-2.799999952316284,-0.6275995367798254,-0.7074125226124287,-0.5477865509472221
all,2,-2.700000047683716,-0.6051852886033178,-0.6821478133260563,-0.5282227638805792
all,2,-2.5999999046325684,-0.5827709869870272,-0.6568830438038655,-0.5086589301701889
all,2,-2.5,-0.5603567388105196,-0.6316183345174932,-0.48909514310354607
all,2,-2.4000000953674316,-0.537942490634012,-0.6063536252311208,-0.4695313560369032
all,2,-2.299999952316284,-0.5155281890177215,-0.5810888557089301,-0.4499675223265129
all,2,-2.200000047683716,-0.49311394084121385,-0.5558241464225576,-0.4304037352598701
all,2,-2.0999999046325684,-0.4706996392249233,-0.5305593769003669,-0.4108399015494797
all,2,-2.0,-0.4482853910484157,-0.5052946676139946,-0.39127611448283683
all,2,-1.899999976158142,-0.4258711161520166,-0.48002992820971296,-0.37171230409432027
all,2,-1.7999999523162842,-0.40345684125561754,-0.45476518880543143,-0.35214849370580364
all,2,-1.7000000476837158,-0.3810425930791099,-0.429500479519059,-0.33258470663916084
all,2,-1.600000023841858,-0.35862831818271085,-0.4042357401147775,-0.3130208962506442
all,2,-1.5,-0.33621404328631177,-0.3789710007104959,-0.29345708586212765
all,2,-1.399999976158142,-0.3137997683899127,-0.35370626130621435,-0.27389327547361103
all,2,-1.2999999523162842,-0.2913854934935136,-0.32844152190193276,-0.25432946508509446
all,2,-1.2000000476837158,-0.268971245317006,-0.3031768126155604,-0.2347656780184516
all,2,-1.100000023841858,-0.24655697042060692,-0.2779120732112788,-0.21520186762993504
all,2,-1.0,-0.22414269552420785,-0.2526473338069973,-0.19563805724141842
all,2,-0.8999999761581421,-0.20172842062780877,-0.22738259440271572,-0.17607424685290182
all,2,-0.800000011920929,-0.17931415909135542,-0.20211787005738874,-0.1565104481253221
all,2,-0.699999988079071,-0.15689988419495635,-0.17685313065310718,-0.13694663773680552
all,2,-0.6000000238418579,-0.134485622658503,-0.1515884063077802,-0.1173828390092258
all,2,-0.5,-0.11207134776210392,-0.12632366690349864,-0.09781902862070921
all,2,-0.4000000059604645,-0.08965707954567771,-0.10105893502869437,-0.07825522406266106
all,2,-0.30000001192092896,-0.0672428113292515,-0.0757942031538901,-0.0586914195046129
all,2,-0.20000000298023224,-0.044828539772838856,-0.050529467514347184,-0.03912761203133053
all,2,-0.10000000149011612,-0.022414269886419428,-0.025264733757173592,-0.019563806015665264
all,2,0.0,0.0,0.0,0.0
all,2,0.10000000149011612,0.022414269886419428,0.019563806015665264,0.025264733757173592
all,2,0.20000000298023224,0.044828539772838856,0.03912761203133053,0.050529467514347184
all,2,0.30000001192092896,0.0672428113292515,0.0586914195046129,0.0757942031538901
all,2,0.4000000059604645,0.08965707954567771,0.07825522406266106,0.10105893502869437
all,2,0.5,0.11207134776210392,0.09781902862070921,0.12632366690349864
all,2,0.6000000238418579,0.134485622658503,0.1173828390092258,0.1515884063077802
all,2,0.699999988079071,0.15689988419495635,0.13694663773680552,0.17685313065310718
all,2,0.800000011920929,0.17931415909135542,0.1565104481253221,0.20211787005738874
all,2,0.8999999761581421,0.20172842062780877,0.17607424685290182,0.22738259440271572
all,2,1.0,0.22414269552420785,0.19563805724141842,0.2526473338069973
all,2,1.100000023841858,0.24655697042060692,0.21520186762993504,0.2779120732112788
all,2,1.2000000476837158,0.268971245317006,0.2347656780184516,0.3031768126155604
all,2,1.2999999523162842,0.2913854934935136,0.25432946508509446,0.32844152190193276
all,2,1.399999976158142,0.3137997683899127,0.27389327547361103,0.35370626130621435
all,2,1.5,0.33621404328631177,0.29345708586212765,0.3789710007104959
all,2,1.600000023841858,0.35862831818271085,0.3130208962506442,0.4042357401147775
all,2,1.7000000476837158,0.3810425930791099,0.33258470663916084,0.429500479519059
all,2,1.7999999523162842,0.40345684125561754,0.35214849370580364,0.45476518880543143
all,2,1.899999976158142,0.4258711161520166,0.37171230409432027,0.48002992820971296
all,2,2.0,0.4482853910484157,0.39127611448283683,0.5052946676139946
all,2,2.0999999046325684,0.4706996392249233,0.4108399015494797,0.5305593769003669
all,2,2.200000047683716,0.49311394084121385,0.4304037352598701,0.5558241464225576
all,2,2.299999952316284,0.5155281890177215,0.4499675223265129,0.5810888557089301
all,2,2.4000000953674316,0.537942490634012,0.4695313560369032,0.6063536252311208
all,2,2.5,0.5603567388105196,0.48909514310354607,0.6316183345174932
all,2,2.5999999046325684,0.5827709869870272,0.5086589301701889,0.6568830438038655
all,2,2.700000047683716,0.6051852886033178,0.5282227638805792,0.6821478133260563
all,2,2.799999952316284,0.6275995367798254,0.5477865509472221,0.7074125226124287
all,2,2.9000000953674316,0.6500138383961159,0.5673503846576124,0.7326772921346194
all,2,3.0,0.6724280865726235,0.5869141717242553,0.7579420014209918
