suite,scenario,dataset,rmse_truth_mean,rmse_truth_std,rmse_clean_mean,rmse_clean_std,score_mean,score_std,tpr_mean,tpr_std,fpr_mean,fpr_std,update_cos_mean,update_cos_std,mia_auc_mean,mia_auc_std,eps_aggregate,eps_server,n_malicious,n_seeds
robustness,clean,cox,0.18359696427546834,0.18168913024035482,0.0,0.0,0.6034074939520987,0.002571044908508755,,,,,,,,,inf,inf,0,5
robustness,no_attack|fedavg,cox,0.18359696427546834,0.18168913024035482,0.0,0.0,0.6034074939520987,0.002571044908508755,,,,,,,,,inf,inf,0,5
robustness,no_attack|fedavg_registered,cox,0.18318019414000483,0.17759824613109054,0.00945357390511956,0.0045832852810604955,0.6033677646816438,0.002621261088066773,,,,,,,,,inf,inf,0,5
robustness,no_attack|norm_bound,cox,0.21182703040872353,0.20564054061241674,0.03420033043563544,0.02104644803624543,0.6030518477577145,0.003028406249899855,,,,,,,,,inf,inf,0,5
robustness,no_attack|median,cox,0.20109819665123568,0.20969283027571897,0.03548726375401335,0.01721812166000261,0.6024778351859644,0.003972298664566787,,,,,,,,,inf,inf,0,5
robustness,no_attack|trimmed_mean,cox,0.22728275417614535,0.2219175025656182,0.0536174522313846,0.039590233410104404,0.6025666569428696,0.003509762668805468,,,,,,,,,inf,inf,0,5
robustness,no_attack|krum,cox,0.4074057179103555,0.273689207808702,0.2430427391665916,0.0888272059794503,0.6001962075573182,0.005808362978629476,,,,,,,,,inf,inf,0,5
robustness,no_attack|multi_krum,cox,0.22118669617475017,0.22216459338904193,0.04484439900939211,0.040448635511779865,0.6027305042542195,0.003508387406448101,,,,,,,,,inf,inf,0,5
robustness,no_attack|geometric_median,cox,0.18343317571800083,0.18891942433947703,0.016991389673567937,0.0069862906428316855,0.6032699027917536,0.0028152601657073124,,,,,,,,,inf,inf,0,5
robustness,sign_flip|fedavg,cox,232.25650257938372,95.49624917446637,232.41960388644992,95.65974773651239,0.39321071235945576,0.001163188484150005,0.0,0.0,0.0,0.0,,,,,inf,inf,1,5
robustness,sign_flip|fedavg_registered,cox,232.25650257938372,95.49624917446637,232.41960388644992,95.65974773651239,0.39321071235945576,0.001163188484150005,0.0,0.0,0.0,0.0,,,,,inf,inf,1,5
robustness,sign_flip|norm_bound,cox,0.32675910376736467,0.2864772996020817,0.15136290975717365,0.10117402247404844,0.6027968602019544,0.006245454181017973,1.0,0.0,0.4444444444444445,0.0,,,,,inf,inf,1,5
robustness,sign_flip|median,cox,0.28196774782325945,0.22944610756531195,0.10295422845521718,0.053475436930219875,0.6032456196444203,0.005641467085059086,1.0,0.0,0.4177777777777778,0.07269078770576055,,,,,inf,inf,1,5
robustness,sign_flip|trimmed_mean,cox,0.28755179776724604,0.24223532525121058,0.11295396169609093,0.06369678886559867,0.6031885865458408,0.005613829446751936,1.0,0.0,0.03111111111111111,0.03718489006818113,,,,,inf,inf,1,5
robustness,sign_flip|krum,cox,0.3919690490366844,0.25235819566288026,0.22936914193906296,0.07426419361460485,0.6012110624741807,0.007701883240621135,1.0,0.0,0.888888888888889,0.0,,,,,inf,inf,1,5
