site,round,x,f,f_lo,f_hi
all,2,-3.0,-0.05460543913775992,-0.14243889773782803,0.033228019462308175
all,2,-2.9000000953674316,-0.05278525956902808,-0.13769093900791105,0.03212041986985489
all,2,-2.799999952316284,-0.05096507566064584,-0.13294296895796753,0.031012817636675835
all,2,-2.700000047683716,-0.04914489609191401,-0.12819501022805052,0.029905218044222512
all,2,-2.5999999046325684,-0.04732471218353177,-0.12344704017810701,0.02879761581104346
all,2,-2.5,-0.045504532614799933,-0.11869908144819002,0.027690016218590158
all,2,-2.4000000953674316,-0.043684353046068096,-0.11395112271827304,0.02658241662613684
all,2,-2.299999952316284,-0.041864169137685855,-0.10920315266832951,0.025474814392957804
all,2,-2.200000047683716,-0.040043989568954025,-0.10445519393841253,0.02436721480050448
all,2,-2.0999999046325684,-0.038223805660571784,-0.099707223888469,0.023259612567325436
all,2,-2.0,-0.03640362609183995,-0.09495926515855202,0.022152012974872126
all,2,-1.899999976158142,-0.03458344435328291,-0.09021130076862177,0.02104441206205595
all,2,-1.7999999523162842,-0.03276326261472587,-0.08546333637869151,0.019936811149239772
all,2,-1.7000000476837158,-0.030943083045994035,-0.08071537764877453,0.018829211556786452
all,2,-1.600000023841858,-0.029122901307437,-0.07596741325884426,0.01772161064397027
all,2,-1.5,-0.02730271956887996,-0.07121944886891401,0.016614009731154088
all,2,-1.399999976158142,-0.02548253783032292,-0.06647148447898377,0.015506408818337918
all,2,-1.2999999523162842,-0.023662356091765886,-0.061723520089053505,0.01439880790552173
all,2,-1.2000000476837158,-0.021842176523034048,-0.05697556135913652,0.01329120831306842
all,2,-1.100000023841858,-0.020021994784477012,-0.052227596969206265,0.01218360740025224
all,2,-1.0,-0.018201813045919973,-0.04747963257927601,0.011076006487436063
all,2,-0.8999999761581421,-0.016381631307362934,-0.042731668189345755,0.009968405574619886
all,2,-0.800000011920929,-0.0145614506537185,-0.03798370662942213,0.008860805321985136
all,2,-0.699999988079071,-0.01274126891516146,-0.03323574223949188,0.007753204409168959
all,2,-0.6000000238418579,-0.010921088261517024,-0.02848778067956826,0.00664560415653421
all,2,-0.5,-0.009100906522959987,-0.023739816289638005,0.0055380032437180315
all,2,-0.4000000059604645,-0.00728072532685925,-0.018991853314711066,0.004430402660992568
all,2,-0.30000001192092896,-0.005460544130758512,-0.01424389033978413,0.003322802078267105
all,2,-0.20000000298023224,-0.003640362663429625,-0.009495926657355533,0.002215201330496284
all,2,-0.10000000149011612,-0.0018201813317148124,-0.0047479633286777664,0.001107600665248142
all,2,0.0,0.0,0.0,0.0
all,2,0.10000000149011612,0.0018201813317148124,-0.001107600665248142,0.0047479633286777664
all,2,0.20000000298023224,0.003640362663429625,-0.002215201330496284,0.009495926657355533
all,2,0.30000001192092896,0.005460544130758512,-0.003322802078267105,0.01424389033978413
all,2,0.4000000059604645,0.00728072532685925,-0.004430402660992568,0.018991853314711066
all,2,0.5,0.009100906522959987,-0.0055380032437180315,0.023739816289638005
all,2,0.6000000238418579,0.010921088261517024,-0.00664560415653421,0.02848778067956826
all,2,0.699999988079071,0.01274126891516146,-0.007753204409168959,0.03323574223949188
all,2,0.800000011920929,0.0145614506537185,-0.008860805321985136,0.03798370662942213
all,2,0.8999999761581421,0.016381631307362934,-0.009968405574619886,0.042731668189345755
all,2,1.0,0.018201813045919973,-0.011076006487436063,0.04747963257927601
all,2,1.100000023841858,0.020021994784477012,-0.01218360740025224,0.052227596969206265
all,2,1.2000000476837158,0.021842176523034048,-0.01329120831306842,0.05697556135913652
all,2,1.2999999523162842,0.023662356091765886,-0.01439880790552173,0.061723520089053505
all,2,1.399999976158142,0.02548253783032292,-0.015506408818337918,0.06647148447898377
all,2,1.5,0.02730271956887996,-0.016614009731154088,0.07121944886891401
all,2,1.600000023841858,0.029122901307437,-0.01772161064397027,0.07596741325884426
all,2,1.7000000476837158,0.030943083045994035,-0.018829211556786452,0.08071537764877453
all,2,1.7999999523162842,0.03276326261472587,-0.019936811149239772,0.08546333637869151
all,2,1.899999976158142,0.03458344435328291,-0.02104441206205595,0.09021130076862177
all,2,2.0,0.03640362609183995,-0.022152012974872126,0.09495926515855202
all,2,2.0999999046325684,0.038223805660571784,-0.023259612567325436,0.099707223888469
all,2,2.200000047683716,0.040043989568954025,-0.02436721480050448,0.10445519393841253
all,2,2.299999952316284,0.041864169137685855,-0.025474814392957804,0.10920315266832951
all,2,2.4000000953674316,0.043684353046068096,-0.02658241662613684,0.11395112271827304
all,2,2.5,0.045504532614799933,-0.027690016218590158,0.11869908144819002
all,2,2.5999999046325684,0.04732471218353177,-0.02879761581104346,0.12344704017810701
all,2,2.700000047683716,0.04914489609191401,-0.029905218044222512,0.12819501022805052
all,2,2.799999952316284,0.05096507566064584,-0.031012817636675835,0.13294296895796753
all,2,2.9000000953674316,0.05278525956902808,-0.03212041986985489,0.13769093900791105
all,2,3.0,0.05460543913775992,-0.033228019462308175,0.14243889773782803
