site,round,malicious,attacking,update_norm,sent_norm,client_clipped,update_cos,mia_auc
site01,0,0,0,1.231660518060094,17.452873388300375,1,0.051813202119509,0.4723776223776224
site02,0,0,0,1.3600227763043578,16.700206068935227,1,0.0065185912675071,0.5310204428996309
site03,0,0,0,1.5227308927027403,17.338697108016394,1,0.0473903402042726,0.5070373563218391
site04,0,0,0,1.606562412483964,16.61154499634664,1,-0.0116411689520478,0.5058453947368422
site05,0,0,0,1.5751351007521737,16.82231814633188,1,0.0246401991212911,0.4806197411003236
site06,0,0,0,1.8215498648638213,17.486890880742987,1,0.0550550058493736,0.4973494671403198
site07,0,0,0,1.8935160743486887,16.822436484028103,1,0.0583317373204062,0.4915689293212036
site08,0,0,0,1.8955528900685796,17.055461450269075,1,0.0192759575183044,0.4866885346413243
site09,0,0,0,1.9293510950856236,16.785471514524367,1,0.0534166499375452,0.5090617210682493
site10,0,0,0,2.146734672727944,16.494174635841834,1,0.0075668358874798,0.488036513859275
site01,1,0,0,0.9886278324161496,17.37798790223747,1,0.0074866041653503,0.4473561526193105
site02,1,0,0,1.047232190247492,16.529371707484827,1,0.0174464722323099,0.5144385817178485
site03,1,0,0,1.2637802229065316,16.23197687573421,1,0.0523224234980152,0.515357040229885
site04,1,0,0,1.3921434112035294,17.446574927131817,1,0.0529887132839885,0.492157346491228
site05,1,0,0,1.5161787366784438,17.059766413083526,1,0.0382097911511169,0.5039978425026969
site06,1,0,0,1.473976758416565,17.31058259274211,1,0.0391812270249369,0.499297513321492
site07,1,0,0,1.569533161769159,16.845780847867434,1,0.0599039121513819,0.4959090272918124
site08,1,0,0,1.658166225420591,17.103838707277447,1,0.0348989700157237,0.4778893316983446
site09,1,0,0,1.6657241167970809,17.00515502706282,1,-0.0366888625003133,0.4896578635014837
site10,1,0,0,1.6543710774033629,16.655343065538883,1,0.0577046068022921,0.4990037313432836
site01,2,0,0,0.7411805915343567,16.883242302886607,1,0.0633250953673529,0.4870384001962948
site02,2,0,0,0.9018118989874624,16.705805465028277,1,0.0373336110726057,0.4919643816963486
site03,2,0,0,0.9796755139721824,16.831104899538566,1,0.0803208860316576,0.4900933908045977
site04,2,0,0,1.1637180352244962,17.48211338449416,1,0.0203230278797452,0.4970603070175439
site05,2,0,0,0.994611981106503,16.547162262440136,1,-0.0055763408720481,0.5080528586839267
site06,2,0,0,1.1414598508421308,17.419482963172246,1,0.0581791189776792,0.4982300177619894
site07,2,0,0,1.287193857418796,17.885629388935634,1,0.1079465033706542,0.4953198040587823
site08,2,0,0,1.280458368377174,17.174981361317556,1,0.0191117126234531,0.4904463519313305
site09,2,0,0,1.4135284584135828,16.563175232290387,1,0.0474094371412931,0.490793471810089
site10,2,0,0,1.2555425197850705,16.76560172059509,1,0.0685602514841974,0.5067931769722814
site01,3,0,0,0.8542862338710027,16.46602537176814,1,0.0068498221219147,0.5218071402281929
site02,3,0,0,1.046251213230458,16.61817604495437,1,-0.0060952410333898,0.5276767477693769
site03,3,0,0,1.2216294675369288,17.216341769757012,1,0.0367179804205871,0.4983685344827586
site04,3,0,0,1.3332580710565909,17.087548408101597,1,0.0025932273954368,0.4904057017543859
site05,3,0,0,1.3706969001650853,17.121460102298446,1,0.0485075951559304,0.5198457389428264
site06,3,0,0,1.3401710599736223,16.946055591337117,1,0.0184383224903297,0.503591918294849
site07,3,0,0,1.5330224273252702,17.503447715048786,1,0.0588162609511092,0.4896021693491952
site08,3,0,0,1.4040906831694395,17.391902109970705,1,0.0668718323484565,0.499621091354997
site09,3,0,0,1.3598396989904888,16.380539738058523,1,-0.0041419598038611,0.4924172106824925
site10,3,0,0,1.4595951471514552,16.84068648958121,1,-0.0140177306718035,0.5007867803837953
site01,4,0,0,0.8513205896658266,17.007094293801906,1,-0.0214100267125543,0.45426328057907
site02,4,0,0,1.2434824628771566,16.423873792975538,1,0.0195789886329305,0.504572105564912
site03,4,0,0,1.3495484430919589,17.866970135482248,1,0.0041834600878645,0.5058318965517241
site04,4,0,0,1.4930500000763154,17.48168919739079,1,0.0108903718981499,0.5001008771929825
site05,4,0,0,1.4757864303329076,17.333362070845084,1,0.0023990309101189,0.496596548004315
site06,4,0,0,1.6050336608425415,17.3443513419147,1,0.0484133522712571,0.4891372113676732
site07,4,0,0,1.4987880325493312,16.841498246520327,1,0.0506395216018061,0.4915937718684395
site08,4,0,0,1.551516924386884,17.90202938882541,1,0.0555029727461829,0.5001735131820969
site09,4,0,0,1.801350928771832,17.151536575198403,1,0.0365579432951108,0.4979272997032641
site10,4,0,0,1.5890150084037709,17.103960153223262,1,0.0173371196306185,0.5075610341151386
