suite,scenario,dataset,seed,x,f
privacy,clean,quadratic,9,-3.0,-0.039910383522510404
privacy,clean,quadratic,9,-2.900000095367432,-0.048386968672275404
privacy,clean,quadratic,9,-2.799999952316284,-0.0590980276465415
privacy,clean,quadratic,9,-2.700000047683716,-0.0738041847944259
privacy,clean,quadratic,9,-2.5999999046325684,-0.0885103754699229
privacy,clean,quadratic,9,-2.5,-0.1032165251672267
privacy,clean,quadratic,9,-2.400000095367432,-0.1179226897656916
privacy,clean,quadratic,9,-2.299999952316284,-0.132628884166479
privacy,clean,quadratic,9,-2.200000047683716,-0.1473350338637828
privacy,clean,quadratic,9,-2.0999999046325684,-0.162077497690916
privacy,clean,quadratic,9,-2.0,-0.1768703274428843
privacy,clean,quadratic,9,-1.899999976158142,-0.1916631422936915
privacy,clean,quadratic,9,-1.7999999523162842,-0.20645601674914352
privacy,clean,quadratic,9,-1.7000000476837158,-0.22124884650111187
privacy,clean,quadratic,9,-1.600000023841858,-0.23651732131838787
privacy,clean,quadratic,9,-1.5,-0.2520189397037028
privacy,clean,quadratic,9,-1.399999976158142,-0.2654966078698634
privacy,clean,quadratic,9,-1.2999999523162842,-0.2611809782683848
privacy,clean,quadratic,9,-1.2000000476837158,-0.2554811649024486
privacy,clean,quadratic,9,-1.100000023841858,-0.24978135153651232
privacy,clean,quadratic,9,-1.0,-0.24401194974780072
privacy,clean,quadratic,9,-0.8999999761581421,-0.2365903072059153
privacy,clean,quadratic,9,-0.800000011920929,-0.22857139632105822
privacy,clean,quadratic,9,-0.699999988079071,-0.2186222188174724
privacy,clean,quadratic,9,-0.6000000238418579,-0.20215394720435131
privacy,clean,quadratic,9,-0.5,-0.1811823956668376
privacy,clean,quadratic,9,-0.4000000059604645,-0.15961479768157
privacy,clean,quadratic,9,-0.3000000119209289,-0.1360236071050166
privacy,clean,quadratic,9,-0.2000000029802322,-0.1006903611123561
privacy,clean,quadratic,9,-0.1000000014901161,-0.054758835583925095
privacy,clean,quadratic,9,0.0,0.0
privacy,clean,quadratic,9,0.1000000014901161,0.0545359142124653
privacy,clean,quadratic,9,0.2000000029802322,0.0921661444008351
privacy,clean,quadratic,9,0.3000000119209289,0.1211711652576924
privacy,clean,quadratic,9,0.4000000059604645,0.1612622328102589
privacy,clean,quadratic,9,0.5,0.20382045581936836
privacy,clean,quadratic,9,0.6000000238418579,0.2658148147165776
privacy,clean,quadratic,9,0.699999988079071,0.3286163546144963
privacy,clean,quadratic,9,0.800000011920929,0.3904673792421817
