suite,scenario,dataset,seed,task,method,rmse_truth,score_metric,score,tpr,fpr,update_cos,mia_auc,eps_aggregate,eps_server,n_malicious,seconds,rmse_clean
privacy,clean,cox,0,survival,2sri,0.02904083501838297,c_index,0.6029984991389997,,,,,inf,inf,0,11.309694051742554,0.0
privacy,clean,cox,1,survival,2sri,0.22731456657416357,c_index,0.6043332086827997,,,,,inf,inf,0,11.5559663772583,0.0
privacy,clean,cox,2,survival,2sri,0.08082367362874544,c_index,0.6057321611435825,,,,,inf,inf,0,11.650854587554932,0.0
privacy,clean,cox,3,survival,2sri,0.09952649846912924,c_index,0.6048131094096326,,,,,inf,inf,0,11.187536716461182,0.0
privacy,clean,cox,4,survival,2sri,0.4812792476869205,c_index,0.5991604913854787,,,,,inf,inf,0,6.523711442947388,0.0
privacy,clean,cox,5,survival,2sri,0.029757417920526538,c_index,0.6041388360905183,,,,,inf,inf,0,6.5193493366241455,0.0
privacy,clean,cox,6,survival,2sri,0.417894622619335,c_index,0.6027560404826,,,,,inf,inf,0,7.247042894363403,0.0
privacy,clean,cox,7,survival,2sri,0.11799484856719232,c_index,0.6061973637292606,,,,,inf,inf,0,6.655978202819824,0.0
privacy,clean,cox,8,survival,2sri,0.08917597635977334,c_index,0.6087758164459804,,,,,inf,inf,0,6.49005651473999,0.0
privacy,clean,cox,9,survival,2sri,0.2628212304942161,c_index,0.6068990035646387,,,,,inf,inf,0,6.432673454284668,0.0
privacy,plain_fedavg,cox,0,survival,2sri,0.027345385342468123,c_index,0.6029615434329924,,,1.0,,inf,inf,0,6.799386978149414,0.00547979659116054
privacy,plain_fedavg,cox,1,survival,2sri,0.237449180486867,c_index,0.6042906272027811,,,1.0,,inf,inf,0,6.347553491592407,0.011302793989628657
privacy,plain_fedavg,cox,2,survival,2sri,0.08456659466089109,c_index,0.6057345088709349,,,1.0,,inf,inf,0,5.729694604873657,0.00734776771278795
privacy,plain_fedavg,cox,3,survival,2sri,0.09729356908472439,c_index,0.6048164796999609,,,1.0,,inf,inf,0,6.383893728256226,0.006497607434946194
privacy,plain_fedavg,cox,4,survival,2sri,0.46924624112507357,c_index,0.5990356642015493,,,1.0,,inf,inf,0,5.49083399772644,0.016639903797074466
privacy,plain_fedavg,cox,5,survival,2sri,0.029757203606009846,c_index,0.6041388360905183,,,1.0,,inf,inf,0,5.881470203399658,3.068463745877217e-07
privacy,plain_fedavg,cox,6,survival,2sri,0.4171834620379296,c_index,0.6027216622501722,,,1.0,,inf,inf,0,5.309516668319702,0.00645682877027685
privacy,plain_fedavg,cox,7,survival,2sri,0.12495060524669956,c_index,0.6062008549515203,,,1.0,,inf,inf,0,5.371124744415283,0.00955192045169255
