site_id,n,h2_x,gamma_x,gamma_y,theta1,avg_slope,seed
site01,1426,0.10000000000000003,0.3317375687039112,0.3526748968918955,0.3,0.3,2
site02,2361,0.10000000000000003,0.4261315055588188,0.31900176507131445,0.3,0.3,3
site03,3480,0.10000000000000003,0.31133944118807677,0.4229701172846621,0.3,0.3,4
site04,4556,0.10000000000000003,0.3094559417173546,0.2778342732570383,0.3,0.3,5
site05,4631,0.10000000000000003,0.3888089603561984,0.32869869023456955,0.3,0.3,6
site06,5629,0.10000000000000003,0.2172345979329675,0.4296615084094029,0.3,0.3,7
site07,7141,0.10000000000000003,0.3331942488519908,0.27562878990312223,0.3,0.3,8
site08,8154,0.10000000000000003,0.307260270031282,0.36681581930468377,0.3,0.3,9
site09,8424,0.10000000000000003,0.18924179916560896,0.2964546170823844,0.3,0.3,10
site10,9380,0.10000000000000003,0.38745438353445893,0.14638597145378068,0.3,0.3,11
