site,round,x,f,f_lo,f_hi
all,2,-3.0,-0.9508533939312219,-1.0361118733071404,-0.8655949145553036
all,2,-2.9000000953674316,-0.9191583110269965,-1.0015748438006784,-0.8367417782533146
all,2,-2.799999952316284,-0.8874631525557328,-0.9670377319514429,-0.8078885731600227
all,2,-2.700000047683716,-0.8557680696515074,-0.932500702444981,-0.7790354368580339
all,2,-2.5999999046325684,-0.8240729111802436,-0.8979635905957455,-0.7501822317647417
all,2,-2.5,-0.7923778282760183,-0.8634265610892836,-0.721329095462753
all,2,-2.4000000953674316,-0.7606827453717929,-0.8288895315828217,-0.6924759591607641
all,2,-2.299999952316284,-0.7289875869005291,-0.7943524197335862,-0.6636227540674721
all,2,-2.200000047683716,-0.6972925039963037,-0.7598153902271243,-0.6347696177654831
all,2,-2.0999999046325684,-0.66559734552504,-0.7252782783778888,-0.6059164126721912
all,2,-2.0,-0.6339022626208146,-0.6907412488714268,-0.5770632763702024
all,2,-1.899999976158142,-0.60220714193307,-0.6562041781935781,-0.5482101056725619
all,2,-1.7999999523162842,-0.5705120212453255,-0.6216671075157295,-0.5193569349749215
all,2,-1.7000000476837158,-0.5388169383411001,-0.5871300780092675,-0.49050379867293264
all,2,-1.600000023841858,-0.5071218176533555,-0.5525930073314188,-0.4616506279752922
all,2,-1.5,-0.47542669696561096,-0.5180559366535702,-0.4327974572776518
all,2,-1.399999976158142,-0.4437315762778664,-0.48351886597572147,-0.40394428658001136
all,2,-1.2999999523162842,-0.4120364555901218,-0.44898179529787274,-0.3750911158823709
all,2,-1.2000000476837158,-0.38034137268589646,-0.4144447657914109,-0.34623797958038205
all,2,-1.100000023841858,-0.34864625199815186,-0.37990769511356215,-0.31738480888274156
all,2,-1.0,-0.3169511313104073,-0.3453706244357134,-0.2885316381851012
all,2,-0.8999999761581421,-0.28525601062266276,-0.31083355375786476,-0.25967846748746076
all,2,-0.800000011920929,-0.25356090882667776,-0.2762965036657094,-0.2308253139876461
all,2,-0.699999988079071,-0.2218657881389332,-0.24175943298786073,-0.20197214329000568
all,2,-0.6000000238418579,-0.19017068634294823,-0.20722238289570544,-0.17311898979019102
all,2,-0.5,-0.15847556565520365,-0.1726853122178567,-0.1442658190925506
all,2,-0.4000000059604645,-0.12678045441333888,-0.1381482518328547,-0.11541265699382305
all,2,-0.30000001192092896,-0.09508534317147412,-0.10361119144785272,-0.08655949489509551
all,2,-0.20000000298023224,-0.06339022720666944,-0.06907412591642735,-0.05770632849691153
all,2,-0.10000000149011612,-0.03169511360333472,-0.034537062958213675,-0.028853164248455763
all,2,0.0,0.0,0.0,0.0
all,2,0.10000000149011612,0.03169511360333472,0.028853164248455763,0.034537062958213675
all,2,0.20000000298023224,0.06339022720666944,0.05770632849691153,0.06907412591642735
all,2,0.30000001192092896,0.09508534317147412,0.08655949489509551,0.10361119144785272
all,2,0.4000000059604645,0.12678045441333888,0.11541265699382305,0.1381482518328547
all,2,0.5,0.15847556565520365,0.1442658190925506,0.1726853122178567
all,2,0.6000000238418579,0.19017068634294823,0.17311898979019102,0.20722238289570544
all,2,0.699999988079071,0.2218657881389332,0.20197214329000568,0.24175943298786073
all,2,0.800000011920929,0.25356090882667776,0.2308253139876461,0.2762965036657094
all,2,0.8999999761581421,0.28525601062266276,0.25967846748746076,0.31083355375786476
all,2,1.0,0.3169511313104073,0.2885316381851012,0.3453706244357134
all,2,1.100000023841858,0.34864625199815186,0.31738480888274156,0.37990769511356215
all,2,1.2000000476837158,0.38034137268589646,0.34623797958038205,0.4144447657914109
all,2,1.2999999523162842,0.4120364555901218,0.3750911158823709,0.44898179529787274
all,2,1.399999976158142,0.4437315762778664,0.40394428658001136,0.48351886597572147
all,2,1.5,0.47542669696561096,0.4327974572776518,0.5180559366535702
all,2,1.600000023841858,0.5071218176533555,0.4616506279752922,0.5525930073314188
all,2,1.7000000476837158,0.5388169383411001,0.49050379867293264,0.5871300780092675
all,2,1.7999999523162842,0.5705120212453255,0.5193569349749215,0.6216671075157295
all,2,1.899999976158142,0.60220714193307,0.5482101056725619,0.6562041781935781
all,2,2.0,0.6339022626208146,0.5770632763702024,0.6907412488714268
all,2,2.0999999046325684,0.66559734552504,0.6059164126721912,0.7252782783778888
all,2,2.200000047683716,0.6972925039963037,0.6347696177654831,0.7598153902271243
all,2,2.299999952316284,0.7289875869005291,0.6636227540674721,0.7943524197335862
all,2,2.4000000953674316,0.7606827453717929,0.6924759591607641,0.8288895315828217
all,2,2.5,0.7923778282760183,0.721329095462753,0.8634265610892836
all,2,2.5999999046325684,0.8240729111802436,0.7501822317647417,0.8979635905957455
all,2,2.700000047683716,0.8557680696515074,0.7790354368580339,0.932500702444981
all,2,2.799999952316284,0.8874631525557328,0.8078885731600227,0.9670377319514429
all,2,2.9000000953674316,0.9191583110269965,0.8367417782533146,1.0015748438006784
all,2,3.0,0.9508533939312219,0.8655949145553036,1.0361118733071404
