site,round,malicious,attacking,update_norm,sent_norm,client_clipped,update_cos,mia_auc
site01,0,0,0,1.154689505826981,1.154689505826981,0,,
site02,0,0,0,1.3766912933860096,1.3766912933860096,0,,
site03,0,0,0,1.6215168848352706,1.6215168848352706,0,,
site04,0,0,0,1.7213455832147022,1.7213455832147022,0,,
site05,0,0,0,1.639990356821946,1.639990356821946,0,,
site06,0,0,0,1.976528187964721,1.976528187964721,0,,
site07,0,0,0,1.983505908880059,1.983505908880059,0,,
site08,0,0,0,1.9169048552677568,1.9169048552677568,0,,
site09,0,0,0,2.2488070804458333,2.2488070804458333,0,,
site10,0,1,1,2.2182074758299684,22.182074758299684,0,,
site01,1,0,0,0.6035566453067814,0.6035566453067814,0,,
site02,1,0,0,0.5160425764721752,0.5160425764721752,0,,
site03,1,0,0,0.8384875096563982,0.8384875096563982,0,,
site04,1,0,0,0.9764475600466312,0.9764475600466312,0,,
site05,1,0,0,0.9958779365745988,0.9958779365745988,0,,
site06,1,0,0,1.0102363514723618,1.0102363514723618,0,,
site07,1,0,0,1.2274579966710766,1.2274579966710766,0,,
site08,1,0,0,1.1984599009484032,1.1984599009484032,0,,
site09,1,0,0,1.072108594344069,1.072108594344069,0,,
site10,1,1,1,1.1288363593712838,11.28836359371284,0,,
site01,2,0,0,0.3486654455658139,0.3486654455658139,0,,
site02,2,0,0,0.4646267997417663,0.4646267997417663,0,,
site03,2,0,0,0.462560764959477,0.462560764959477,0,,
site04,2,0,0,0.5469714835364625,0.5469714835364625,0,,
site05,2,0,0,0.6490112440548444,0.6490112440548444,0,,
site06,2,0,0,0.7772809655036975,0.7772809655036975,0,,
site07,2,0,0,0.7335106741443688,0.7335106741443688,0,,
site08,2,0,0,0.7396311319067657,0.7396311319067657,0,,
site09,2,0,0,0.8968518516544587,0.8968518516544587,0,,
site10,2,1,1,0.7118184334713229,7.118184334713229,0,,
site01,3,0,0,0.3372746983791242,0.3372746983791242,0,,
site02,3,0,0,0.8044522273376976,0.8044522273376976,0,,
site03,3,0,0,0.4556812483734117,0.4556812483734117,0,,
site04,3,0,0,0.598575471982988,0.598575471982988,0,,
site05,3,0,0,0.7079752701852384,0.7079752701852384,0,,
site06,3,0,0,0.6277320775849219,0.6277320775849219,0,,
site07,3,0,0,0.8055142876536397,0.8055142876536397,0,,
site08,3,0,0,0.8130999020099415,0.8130999020099415,0,,
site09,3,0,0,0.7501002137494467,0.7501002137494467,0,,
site10,3,1,1,0.8808083532808676,8.808083532808677,0,,
site01,4,0,0,0.4062707304602962,0.4062707304602962,0,,
site02,4,0,0,0.5282863843078036,0.5282863843078036,0,,
site03,4,0,0,0.4412381241869283,0.4412381241869283,0,,
site04,4,0,0,0.5690181892446159,0.5690181892446159,0,,
site05,4,0,0,0.65624059631417,0.65624059631417,0,,
site06,4,0,0,0.5992364223200348,0.5992364223200348,0,,
site07,4,0,0,0.8036435252754109,0.8036435252754109,0,,
site08,4,0,0,0.8858487779894677,0.8858487779894677,0,,
site09,4,0,0,0.7714563665220086,0.7714563665220086,0,,
site10,4,1,1,0.6797608805904963,6.797608805904964,0,,
