site,round,stage,n_train,n_test,loss,c_index,events,fs_r2
site01,0,global,342,86,4.432627201080322,0.4746987951807229,5.0,-0.0155334727718392
site01,0,local,342,86,4.442577362060547,0.4746987951807229,5.0,-0.0155334727718392
site01,1,global,342,86,4.4373979568481445,0.4746987951807229,5.0,-0.0155334727718392
site01,1,local,342,86,4.4469804763793945,0.4746987951807229,5.0,-0.0155334727718392
site01,2,global,342,86,4.436453819274902,0.4746987951807229,5.0,-0.0155334727718392
site01,2,local,342,86,4.446311473846436,0.4746987951807229,5.0,-0.0155334727718392
site01,3,global,342,86,4.438394546508789,0.4746987951807229,5.0,-0.0155334727718392
site01,3,local,342,86,4.447022914886475,0.4746987951807229,5.0,-0.0155334727718392
site01,4,global,342,86,4.435965061187744,0.4746987951807229,5.0,-0.0155334727718392
site01,4,local,342,86,4.445670127868652,0.4746987951807229,5.0,-0.0155334727718392
site02,0,global,566,142,4.947074890136719,0.5093525179856115,5.0,-0.0166151999911112
site02,0,local,566,142,4.973092079162598,0.5093525179856115,5.0,-0.0166151999911112
site02,1,global,566,142,4.949533939361572,0.5093525179856115,5.0,-0.0166151999911112
site02,1,local,566,142,4.967223167419434,0.5093525179856115,5.0,-0.0166151999911112
site02,2,global,566,142,4.951709747314453,0.5093525179856115,5.0,-0.0166151999911112
site02,2,local,566,142,4.980419158935547,0.5093525179856115,5.0,-0.0166151999911112
site02,3,global,566,142,4.954442977905273,0.5093525179856115,5.0,-0.0166151999911112
site02,3,local,566,142,4.971240520477295,0.5093525179856115,5.0,-0.0166151999911112
site02,4,global,566,142,4.951262474060059,0.5093525179856115,5.0,-0.0166151999911112
site02,4,local,566,142,4.975255012512207,0.5093525179856115,5.0,-0.0166151999911112
site03,0,global,835,209,5.328091144561768,0.4444444444444444,9.0,-0.0006603469568937
site03,0,local,835,209,5.355886936187744,0.446078431372549,9.0,-0.0006603469568937
site03,1,global,835,209,5.335944652557373,0.446078431372549,9.0,-0.0006603469568937
site03,1,local,835,209,5.368332386016846,0.446078431372549,9.0,-0.0006603469568937
site03,2,global,835,209,5.336627960205078,0.446078431372549,9.0,-0.0006603469568937
site03,2,local,835,209,5.384641170501709,0.446078431372549,9.0,-0.0006603469568937
site03,3,global,835,209,5.341048240661621,0.446078431372549,9.0,-0.0006603469568937
site03,3,local,835,209,5.3732218742370605,0.446078431372549,9.0,-0.0006603469568937
site03,4,global,835,209,5.337977409362793,0.446078431372549,9.0,-0.0006603469568937
site03,4,local,835,209,5.355898380279541,0.446078431372549,9.0,-0.0006603469568937
site04,0,global,1093,274,5.61047887802124,0.3538175046554935,10.0,0.0707256360805992
site04,0,local,1093,274,5.530085563659668,0.6461824953445066,10.0,0.0707256360805992
site04,1,global,1093,274,5.6267194747924805,0.3538175046554935,10.0,0.0707256360805992
site04,1,local,1093,274,5.559555530548096,0.6461824953445066,10.0,0.0707256360805992
site04,2,global,1093,274,5.629865646362305,0.3538175046554935,10.0,0.0707256360805992
site04,2,local,1093,274,5.56033992767334,0.6461824953445066,10.0,0.0707256360805992
site04,3,global,1093,274,5.637821197509766,0.3538175046554935,10.0,0.0707256360805992
site04,3,local,1093,274,5.56243896484375,0.6461824953445066,10.0,0.0707256360805992
site04,4,global,1093,274,5.629884719848633,0.3538175046554935,10.0,0.0707256360805992
site04,4,local,1093,274,5.554593086242676,0.6461824953445066,10.0,0.0707256360805992
site05,0,global,1111,278,5.613264083862305,0.5295075295075296,9.0,0.0506812773308672
site05,0,local,1111,278,5.616235733032227,0.4814814814814814,9.0,0.0506812773308672
site05,1,global,1111,278,5.611630916595459,0.5343915343915344,9.0,0.0506812773308672
site05,1,local,1111,278,5.615968704223633,0.4794464794464794,9.0,0.0506812773308672
site05,2,global,1111,278,5.610845565795898,0.5343915343915344,9.0,0.0506812773308672
site05,2,local,1111,278,5.610662460327148,0.5107855107855108,9.0,0.0506812773308672
site05,3,global,1111,278,5.6110053062438965,0.5343915343915344,9.0,0.0506812773308672
site05,3,local,1111,278,5.605688571929932,0.5441595441595442,9.0,0.0506812773308672
site05,4,global,1111,278,5.610467910766602,0.5343915343915344,9.0,0.0506812773308672
site05,4,local,1111,278,5.610909461975098,0.5026455026455027,9.0,0.0506812773308672
site06,0,global,1351,338,5.8033647537231445,0.5269072833369354,14.0,0.0360703607772637
site06,0,local,1351,338,5.802832126617432,0.5545709963259131,14.0,0.0360703607772637
site06,1,global,1351,338,5.801997184753418,0.5269072833369354,14.0,0.0360703607772637
site06,1,local,1351,338,5.802050590515137,0.527771774367841,14.0,0.0360703607772637
site06,2,global,1351,338,5.801840782165527,0.5269072833369354,14.0,0.0360703607772637
site06,2,local,1351,338,5.802913665771484,0.5269072833369354,14.0,0.0360703607772637
site06,3,global,1351,338,5.801756858825684,0.5269072833369354,14.0,0.0360703607772637
site06,3,local,1351,338,5.800966739654541,0.5269072833369354,14.0,0.0360703607772637
site06,4,global,1351,338,5.801784992218018,0.5269072833369354,14.0,0.0360703607772637
site06,4,local,1351,338,5.801717281341553,0.5269072833369354,14.0,0.0360703607772637
site07,0,global,1714,429,6.034563064575195,0.5653812335133778,19.0,0.1116969749328241
site07,0,local,1714,429,6.0156450271606445,0.5675166436377339,19.0,0.1116969749328241
site07,1,global,1714,429,6.02642297744751,0.5677678683582464,19.0,0.1116969749328241
site07,1,local,1714,429,6.018372058868408,0.5675166436377339,19.0,0.1116969749328241
site07,2,global,1714,429,6.026958465576172,0.5675166436377339,19.0,0.1116969749328241
site07,2,local,1714,429,6.0180511474609375,0.5675166436377339,19.0,0.1116969749328241
site07,3,global,1714,429,6.024027824401856,0.5675166436377339,19.0,0.1116969749328241
site07,3,local,1714,429,6.021323204040527,0.5672654189172215,19.0,0.1116969749328241
site07,4,global,1714,429,6.027193546295166,0.567014194196709,19.0,0.1116969749328241
site07,4,local,1714,429,6.028737545013428,0.5677678683582464,19.0,0.1116969749328241
site08,0,global,1957,490,6.15787935256958,0.641349827178461,23.0,0.2035165968392807
site08,0,local,1957,490,6.084064483642578,0.6419865381116973,23.0,0.2035165968392807
site08,1,global,1957,490,6.139767646789551,0.641531744587957,23.0,0.2035165968392807
site08,1,local,1957,490,6.0760273933410645,0.6419865381116973,23.0,0.2035165968392807
site08,2,global,1957,490,6.135988235473633,0.6423503729306894,23.0,0.2035165968392807
site08,2,local,1957,490,6.093507766723633,0.6419865381116973,23.0,0.2035165968392807
site08,3,global,1957,490,6.128983974456787,0.6419865381116973,23.0,0.2035165968392807
site08,3,local,1957,490,6.087011814117432,0.6419865381116973,23.0,0.2035165968392807
site08,4,global,1957,490,6.133780479431152,0.6408950336547208,23.0,0.2035165968392807
site08,4,local,1957,490,6.082568645477295,0.6419865381116973,23.0,0.2035165968392807
site09,0,global,2021,506,6.2071452140808105,0.4678753740538637,23.0,0.021537506005879
site09,0,local,2021,506,6.2055439949035645,0.4695476148565393,23.0,0.021537506005879
site09,1,global,2021,506,6.210513114929199,0.4678753740538637,23.0,0.021537506005879
site09,1,local,2021,506,6.207836627960205,0.4678753740538637,23.0,0.021537506005879
site09,2,global,2021,506,6.211142063140869,0.4678753740538637,23.0,0.021537506005879
site09,2,local,2021,506,6.20729923248291,0.4678753740538637,23.0,0.021537506005879
site09,3,global,2021,506,6.212745189666748,0.4678753740538637,23.0,0.021537506005879
site09,3,local,2021,506,6.207581996917725,0.4678753740538637,23.0,0.021537506005879
site09,4,global,2021,506,6.21116828918457,0.4678753740538637,23.0,0.021537506005879
site09,4,local,2021,506,6.209629058837891,0.4678753740538637,23.0,0.021537506005879
site10,0,global,2251,563,6.310023784637451,0.5313921747042766,26.0,0.0442715476421389
site10,0,local,2251,563,6.31307315826416,0.4685378315951564,26.0,0.0442715476421389
site10,1,global,2251,563,6.308430671691895,0.5314621684048436,26.0,0.0442715476421389
site10,1,local,2251,563,6.313426017761231,0.4678378945894869,26.0,0.0442715476421389
site10,2,global,2251,563,6.308716297149658,0.5314621684048436,26.0,0.0442715476421389
site10,2,local,2251,563,6.310038089752197,0.5316721495065444,26.0,0.0442715476421389
site10,3,global,2251,563,6.3086419105529785,0.5314621684048436,26.0,0.0442715476421389
site10,3,local,2251,563,6.3114447593688965,0.4130328270455659,26.0,0.0442715476421389
site10,4,global,2251,563,6.308812618255615,0.5314621684048436,26.0,0.0442715476421389
site10,4,local,2251,563,6.310722827911377,0.5312521873031427,26.0,0.0442715476421389
